,word,lema,animacy,gender,finale,n_syll,preposition,context
0,кладбище,кладбище,inan,neut,щ',2,на,"ну , там на кладбище тогда ( тады , ) а еть ="
1,кладбище,кладбище,inan,neut,щ',2,на,"[ Те ] на кладбище ходил , так что и"
2,окне,окно,inan,neut,н,1,на,чтоб стояло на окне
3,перекрёстке,перекрёсток,inan,masc,к,4,на,Ну где ( иде ) на перекрёстке
4,кладбище,кладбище,inan,neut,щ',2,на,"Ну там покуля на кладбище тоже привезут , тоже ж"
5,кладбище,кладбище,inan,neut,щ',2,на,"Прощаются там вот , на кладбище"
6,кладбище,кладбище,inan,neut,щ',2,на,"каждый раз на кладбище , дык надо закрывать , скатерть , [ погрябун ]"
7,кладбище,кладбище,inan,neut,щ',2,на,"И на кладбище везут [ экых ] , этот ( этый )"
8,кладбище,кладбище,inan,neut,щ',2,на,и там на кладбище ж
9,кладбище,кладбище,inan,neut,щ',2,на,"на кладбище вот , и туда ( туды ) тоже носят канун этот ( этый )"
10,кладбище,кладбище,inan,neut,щ',2,на,Ну на кладбище ходишь на Радуницу
11,кладбище,кладбище,inan,neut,щ',2,на,"На кладбище , к ней , тоже"
12,кладбище,кладбище,inan,neut,щ',2,на,На кладбище
13,поле,поле,inan,neut,л',1,на,"В Бахаревке , ну шёл ( ишо'w ) ну а назавтрева его там , на поле нашли , на дороге , помёрший"
14,сундуке,сундук,inan,masc,к,2,в,"тебя дети там ( тама ) , в сундуке ( сундуку ) там таблетки"
15,сундуке,сундук,inan,masc,к,2,в,"Ну она ( ина ) сказала , что , Анька , прибери там таблетка в сундуке ( сундуку )"
16,зеркале,зеркало,inan,neut,л,2,на,"Зеркало , дух этот ( этый ) , а обод же есть ( ёсть ) на зеркале"
17,платке,платок,inan,masc,к,2,в,Ну женщина ж в платке
18,случае,случай,inan,masc,й,2,во,"во всяком случае , почти ничего такого не знаю особенно"
19,доме,дом,inan,masc,м,1,в,"По = понятно , да ? Это рядом с вами , где вы живёте в нашем доме"
20,районе,район,inan,masc,н,2,в,"А мы же рядом , мы же в районе одном , одинаково"
21,обиходе,обиход,inan,masc,д,3,в,в обиходе редко бывают . Вот и мы так
