Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
0;сундуку;сундук;inan;masc;к;2;в;тебя дети там ( тама ) , в сундуке ( сундуку ) там таблетки
1;сундуку;сундук;inan;masc;к;2;в;Ну она ( ина ) сказала , что , Анька , прибери там таблетка в сундуке ( сундуку )
2;гробу;гроб;inan;masc;б;1;в;Они ( яны ) уже ( ужо ) , я при = приехала , ну уже ляжи = , ну собрались уже , в гробу лежит
3;году;год;inan;masc;д;1;в;Приехала в семьдесят пятом году , ничего не знаю особенно
4;году;год;inan;masc;д;1;в;Она , вы знаете , вы , наверное , там были в прошлом году , ту , ту сторону
5;верху;верх;inan;masc;х;1;на;Нет , нет , нет , там , там на верху такая звёздочка , но это не . .
6;году;год;inan;masc;д;1;в;И нам дали этот сразу дом , когда мы переехали в семьдесят пятом году
7;году;год;inan;masc;д;1;в;Это он умер у меня в каком году , в девяносто
8;году;год;inan;masc;д;1;в;наверное так , где - то в девяносто восьмом году , они на той улице все живут
9;мосту;мост;inan;masc;т;1;на;Да , да чёрным кверху , я два разы шагнула , и , ой - ой - ой , и прямо на мосту , и всё . Ну , и родился
10;мосту;мост;inan;masc;т;1;на;Прямо на мосту . Матка с бабой , матка и баба
11;боку;бок;inan;masc;к;1;в;Меня положили , дргуая была в другом боку
12;году;год;inan;masc;д;1;в;Как раз я уже родилась в тридцатом году
13;посёлку;посёлок;inan;masc;к;3;на;Откуль я ж , тогда ( тады ) мы жили на по = на посёлку , на собняку
14;собняку;собняк;inan;masc;к;2;на;Откуль я ж , тогда ( тады ) мы жили на по = на посёлку , на собняку
16;гробу;гроб;inan;masc;б;1;в;Если у него в головах , будет переворачиваться в гробу , что ли
17;гробу;гроб;inan;masc;б;1;в;Так в гробу , а как вот
18;году;год;inan;masc;д;1;в;В сорок четвёртом году , десятого марта
19;году;год;inan;masc;д;1;в;А пришёл с армии в пятидесятом году тридцатого сентября , вот ско = . Вот сколько отбарабанил
20;бою;бой;inan;masc;й;1;в;Ну а потом он ( ён ) хотел было тоже на пенсию , в этот ( этый ) в военкомат сходил , сказали , часть ваша , говорят , в бою не участвовала
21;свинарнику;свинарник;inan;masc;к;3;на;семнадцать годов тут ( тута ) на ферме сь = на свинарнику
23;кусту;куст;inan;masc;т;1;на;и под кустом , а после Ильи и на кусту не ве = , не сохнет
24;лесу;лес;inan;masc;с;1;в;Дык если они ( яны ) в лесу ( лясу ) живут , если живут они в лесу
26;лесу;лес;inan;masc;с;1;в;Дык если они ( яны ) в лесу ( лясу ) живут , если живут они в лесу
27;языку;язык;inan;masc;к;2;в;Где ( иде ) б я договорился , в другом языке ( языку )
28;ходу;ход;inan;masc;д;1;на;Когда отступали , они всё на своем ходу и сжигали
29;плену;плен;inan;masc;н;1;в;Тут за то , тут были в плену оставши
30;рву;ров;inan;masc;в;1;во;Ну , мамка даст сколько яичек . Ну , мы жарили яешну во рву
31;рву;ров;inan;masc;в;1;во;Когда хочешь , заблудишь там во рву , в бурьяне в этом
32;горлачу;горлач;inan;masc;ч;2;в;И ещё ей говорю , надо ж было , воду в горлачу носила ей
33;лесу;лес;inan;masc;с;1;в;И вот в лесу растёт такая трава , называется дереза
34;году;год;inan;masc;д;1;в;Это в шестидесятом году , ещё техники не было
35;году;год;inan;masc;д;1;в;если на доску почёта , два раза только в году , а больше не давали
36;году;год;inan;masc;д;1;в;Легче хоть . А там в шестьдесят пятом году уже ( ужо ) колхоз перешёл на деньги . Стал уже ( ужо ) колхоз платить деньги
