,lema,animacy,gender,finale,n_syll,accent,soft0
0,сундук,1,1,к,2,0,1
1,сундук,1,1,к,2,0,1
2,гроб,1,1,б,1,1,1
3,год,1,1,д,1,1,1
4,год,1,1,д,1,1,1
5,верх,1,1,х,1,1,1
6,год,1,1,д,1,1,1
7,год,1,1,д,1,1,1
8,год,1,1,д,1,1,1
9,мост,1,1,т,1,1,1
10,мост,1,1,т,1,1,1
11,бок,1,1,к,1,1,1
12,год,1,1,д,1,1,1
13,посёлок,1,1,к,3,0,1
14,собняк,1,1,к,2,0,1
15,гроб,1,1,б,1,1,1
16,гроб,1,1,б,1,1,1
17,год,1,1,д,1,1,1
18,год,1,1,д,1,1,1
19,бой,1,1,й,1,1,1
20,свинарник,1,1,к,3,0,1
21,куст,1,1,т,1,0,1
22,лес,1,1,с,1,1,1
23,лес,1,1,с,1,1,1
24,язык,1,1,к,2,0,1
25,ход,1,1,д,1,1,1
26,плен,1,1,н,1,0,1
27,ров,1,1,в,1,0,1
28,ров,1,1,в,1,0,1
29,горлач,1,1,ч,2,0,1
30,лес,1,1,с,1,1,1
31,год,1,1,д,1,1,1
32,год,1,1,д,1,1,1
33,год,1,1,д,1,1,1
34,год,1,1,д,1,1,1
35,лес,1,1,с,1,1,1
36,мешок,1,1,к,2,0,1
37,лес,1,1,с,1,1,1
38,лес,1,1,с,1,1,1
39,край,1,1,й,1,1,1
40,посёлок,1,1,к,3,0,1
41,лес,1,1,с,1,1,1
42,лес,1,1,с,1,1,1
43,лес,1,1,с,1,1,1
44,лес,1,1,с,1,1,1
45,кабан,0,1,н,2,0,1
46,столб,1,1,б,1,0,1
47,год,1,1,д,1,1,1
48,год,1,1,д,1,1,1
49,год,1,1,д,1,1,1
50,год,1,1,д,1,1,1
51,посёлок,1,1,к,3,0,1
52,год,1,1,д,1,1,1
53,лес,1,1,с,1,1,1
54,взгорок,1,1,к,2,0,1
55,год,1,1,д,1,1,1
56,год,1,1,д,1,1,1
57,год,1,1,д,1,1,1
58,год,1,1,д,1,1,1
59,плуг,1,1,г,1,1,1
60,берег,1,1,г,2,0,1
61,год,1,1,д,1,1,1
62,год,1,1,д,1,1,1
63,год,1,1,д,1,1,1
64,год,1,1,д,1,1,1
65,год,1,1,д,1,1,1
66,год,1,1,д,1,1,1
67,мешок,1,1,к,2,0,1
68,ров,1,1,в,1,0,1
69,кут,1,1,т,1,0,1
70,лес,1,1,с,1,1,1
71,особняк,1,1,к,3,0,1
72,лес,1,1,с,1,1,1
73,лес,1,1,с,1,1,1
74,год,1,1,д,1,1,1
75,год,1,1,д,1,1,1
76,год,1,1,д,1,1,1
77,год,1,1,д,1,1,1
78,рот,1,1,т,1,0,1
79,лес,1,1,с,1,1,1
80,лес,1,1,с,1,1,1
81,год,1,1,д,1,1,1
82,станок,1,1,к,2,0,1
83,хлев,1,1,в,1,1,1
84,полушубок,1,1,к,4,0,1
85,канаршино,1,0,н,3,0,1
86,год,1,1,д,1,1,1
87,год,1,1,д,1,1,1
88,год,1,1,д,1,1,1
89,год,1,1,д,1,1,1
90,бычок,1,1,к,2,0,1
91,бычок,1,1,к,2,0,1
92,бычок,1,1,к,2,0,1
93,бок,1,1,к,1,1,1
94,сад,1,1,д,1,1,1
95,сад,1,1,д,1,1,1
96,год,1,1,д,1,1,1
97,вид,1,1,д,1,0,1
98,вид,1,1,д,1,0,1
99,год,1,1,д,1,1,1
100,вид,1,1,д,1,0,1
101,лес,1,1,с,1,1,1
102,год,1,1,д,1,1,1
103,вид,1,1,д,1,0,1
104,год,1,1,д,1,1,1
105,край,1,1,й,1,1,1
106,край,1,1,й,1,1,1
107,край,1,1,й,1,1,1
108,бык,0,1,к,1,0,1
109,год,1,1,д,1,1,1
110,лес,1,1,с,1,1,1
111,лес,1,1,с,1,1,1
112,плав,1,1,в,1,0,1
113,лес,1,1,с,1,1,1
114,год,1,1,д,1,1,1
115,край,1,1,й,1,1,1
116,шкаф,1,1,ф,1,1,1
117,шкаф,1,1,ф,1,1,1
118,двор,1,1,р,1,0,1
119,потолок,1,1,к,3,0,1
120,мост,1,1,т,1,1,1
121,год,1,1,д,1,1,1
122,вид,1,1,д,1,0,1
123,год,1,1,д,1,1,1
124,вид,1,1,д,1,0,1
125,вид,1,1,д,1,0,1
126,год,1,1,д,1,1,1
127,гребень,1,1,н',2,0,0
128,дом,1,1,м,1,1,1
129,год,1,1,д,1,1,1
130,лес,1,1,с,1,1,1
131,лес,1,1,с,1,1,1
132,круг,1,1,г,1,1,1
133,танк,1,1,к,1,0,1
134,год,1,1,д,1,1,1
135,вид,1,1,д,1,0,1
136,бок,1,1,к,1,1,1
137,вид,1,1,д,1,0,1
138,вид,1,1,д,1,0,1
139,год,1,1,д,1,1,1
140,год,1,1,д,1,1,1
141,ход,1,1,д,1,1,1
142,пол,1,1,л,1,1,1
143,сад,1,1,д,1,1,1
144,малинник,1,1,к,3,0,1
145,лес,1,1,с,1,1,1
146,большак,1,1,к,2,0,1
147,посёлок,1,1,к,3,0,1
148,лес,1,1,с,1,1,1
149,лес,1,1,с,1,1,1
150,ход,1,1,д,1,1,1
151,бок,1,1,к,1,1,1
152,пол,1,1,л,1,1,1
153,полик,1,1,к,2,0,1
154,лес,1,1,с,1,1,1
155,год,1,1,д,1,1,1
156,лес,1,1,с,1,1,1
157,год,1,1,д,1,1,1
158,год,1,1,д,1,1,1
159,год,1,1,д,1,1,1
160,край,1,1,й,1,1,1
161,сад,1,1,д,1,1,1
162,год,1,1,д,1,1,1
163,угол,1,1,л,2,0,1
164,год,1,1,д,1,1,1
165,бугор,1,1,р,2,0,1
166,бугор,1,1,р,2,0,1
167,ход,1,1,д,1,1,1
168,год,1,1,д,1,1,1
169,край,1,1,й,1,1,1
170,дом,1,1,м,1,1,1
171,лес,1,1,с,1,1,1
172,год,1,1,д,1,1,1
173,лес,1,1,с,1,1,1
174,мост,1,1,т,1,1,1
175,посёлок,1,1,к,3,0,1
176,банк,1,1,к,1,0,1
177,банк,1,1,к,1,0,1
178,угол,1,1,л,2,0,1
179,угол,1,1,л,2,0,1
180,круг,1,1,г,1,1,1
181,бок,1,1,к,1,1,1
182,бок,1,1,к,1,1,1
183,год,1,1,д,1,1,1
184,год,1,1,д,1,1,1
185,год,1,1,д,1,1,1
186,вид,1,1,д,1,0,1
187,круг,1,1,г,1,1,1
188,год,1,1,д,1,1,1
189,мост,1,1,т,1,1,1
190,вид,1,1,д,1,0,1
