,lema,0e_num,0y_num,perc,animacy,gender,finale,n_syll,soft0
0,колхоз,86.0,0.0,0.0,1,1,з,2,1
1,дом,66.0,2.0,0.029411764705882353,1,1,м,1,1
3,детство,25.0,0.0,0.0,1,0,в,1,1
4,поле,22.0,0.0,0.0,1,0,л',1,0
5,кладбище,22.0,0.0,0.0,1,0,щ',2,0
6,сарай,19.0,0.0,0.0,1,1,й,2,1
7,место,18.0,0.0,0.0,1,0,т,1,1
8,город,17.0,0.0,0.0,1,1,д,2,1
9,район,17.0,0.0,0.0,1,1,н,2,1
10,конь,15.0,0.0,0.0,0,1,н',1,0
11,магазин,14.0,0.0,0.0,1,1,н,3,1
12,двор,12.0,1.0,0.07692307692307693,1,1,р,1,1
14,огород,11.0,0.0,0.0,1,1,д,3,1
15,конец,10.0,0.0,0.0,1,1,ц,2,1
16,случай,9.0,0.0,0.0,1,1,й,2,1
17,стол,8.0,0.0,0.0,1,1,л,1,1
18,трактор,8.0,0.0,0.0,1,1,р,2,1
19,сон,8.0,0.0,0.0,1,1,н,1,1
20,март,7.0,0.0,0.0,1,1,т,1,1
21,клуб,6.0,0.0,0.0,1,1,б,1,1
22,дело,6.0,0.0,0.0,1,0,л,1,1
23,подол,6.0,0.0,0.0,1,1,л,2,1
24,техникум,5.0,0.0,0.0,1,1,м,3,1
25,завод,5.0,0.0,0.0,1,1,д,2,1
26,месяц,5.0,0.0,0.0,1,1,ц,2,1
27,июнь,5.0,0.0,0.0,1,1,н',2,0
28,автобус,5.0,0.0,0.0,1,1,с,3,1
29,порог,5.0,0.0,0.0,1,1,г,2,1
30,зал,4.0,0.0,0.0,1,1,л,1,1
31,округ,4.0,0.0,0.0,1,1,г,2,1
32,банк,4.0,2.0,0.3333333333333333,1,1,к,1,1
34,мираторг,4.0,0.0,0.0,1,1,г,3,1
35,базар,4.0,0.0,0.0,1,1,р,2,1
36,возраст,4.0,0.0,0.0,1,1,т,2,1
37,декабрь,4.0,0.0,0.0,1,1,р',2,0
38,сельсовет,4.0,0.0,0.0,1,1,т,3,1
39,фронт,4.0,0.0,0.0,1,1,т,1,1
40,ресторан,4.0,0.0,0.0,1,1,н,3,1
41,обиход,3.0,0.0,0.0,1,1,д,3,1
42,масло,3.0,0.0,0.0,1,0,л,1,1
43,царь,3.0,0.0,0.0,0,1,р',1,0
44,село,3.0,0.0,0.0,1,0,л,1,1
45,курс,3.0,0.0,0.0,1,1,с,1,1
46,загон,3.0,0.0,0.0,1,1,н,2,1
47,горох,3.0,0.0,0.0,1,1,х,2,1
48,перекрёсток,3.0,0.0,0.0,1,1,к,4,1
49,озеро,3.0,0.0,0.0,1,0,р,2,1
50,апрель,3.0,0.0,0.0,1,1,л',2,0
51,колено,2.0,0.0,0.0,1,0,н,2,1
52,коридор,2.0,0.0,0.0,1,1,р,3,1
53,колодец,2.0,0.0,0.0,1,1,ц,3,1
54,кут,2.0,1.0,0.3333333333333333,1,1,т,1,1
56,крыльцо,2.0,0.0,0.0,1,0,ц,1,1
57,разговор,2.0,0.0,0.0,1,1,р,3,1
58,север,2.0,0.0,0.0,1,1,р,2,1
59,бурьян,2.0,0.0,0.0,1,1,н,2,1
60,стадо,2.0,0.0,0.0,1,0,д,1,1
61,стойло,2.0,0.0,0.0,1,0,л,1,1
62,погреб,2.0,0.0,0.0,1,1,б,2,1
63,центр,2.0,0.0,0.0,1,1,р,1,1
64,вход,2.0,0.0,0.0,1,1,д,1,1
65,въезд,2.0,0.0,0.0,1,1,д,1,1
66,февраль,2.0,0.0,0.0,1,1,л',2,0
67,чугун,2.0,0.0,0.0,1,1,н,2,1
68,посёлок,2.0,5.0,0.7142857142857143,1,1,к,3,1
70,гребень,2.0,1.0,0.3333333333333333,1,1,н',2,0
72,уровень,2.0,0.0,0.0,1,1,н',3,0
73,рот,2.0,1.0,0.3333333333333333,1,1,т,1,1
75,платок,2.0,0.0,0.0,1,1,к,2,1
76,шанталово,2.0,0.0,0.0,1,0,в,3,1
77,предел,2.0,0.0,0.0,1,1,л,2,1
78,дизель,2.0,0.0,0.0,1,1,л',2,0
79,тест,2.0,0.0,0.0,1,1,т,1,1
80,жито,2.0,0.0,0.0,1,0,т,1,1
81,число,2.0,0.0,0.0,1,0,л,1,1
82,зеркало,2.0,0.0,0.0,1,0,л,2,1
83,июль,2.0,0.0,0.0,1,1,л',2,0
84,капот,2.0,0.0,0.0,1,1,т,2,1
85,начало,2.0,0.0,0.0,1,0,л,2,1
86,райком,1.0,0.0,0.0,1,1,м,2,1
87,август,1.0,0.0,0.0,1,1,т,2,1
88,пупок,1.0,0.0,0.0,1,1,к,2,1
89,проход,1.0,0.0,0.0,1,1,д,2,1
90,принцип,1.0,0.0,0.0,1,1,п,2,1
91,потолок,1.0,1.0,0.5,1,1,к,3,1
93,посель,1.0,0.0,0.0,1,1,л',2,0
94,порядок,1.0,0.0,0.0,1,1,к,3,1
95,производство,1.0,0.0,0.0,1,0,в,3,1
96,союз,1.0,0.0,0.0,1,1,з,2,1
97,рассол,1.0,0.0,0.0,1,1,л,2,1
98,угол,1.0,3.0,0.75,1,1,л,2,1
100,яичко,1.0,0.0,0.0,1,0,к,2,1
101,шок,1.0,0.0,0.0,1,1,к,1,1
102,чердак,1.0,0.0,0.0,1,1,к,2,1
103,хозяйство,1.0,0.0,0.0,1,0,в,2,1
104,характер,1.0,0.0,0.0,1,1,р,3,1
105,фат,1.0,0.0,0.0,0,1,т,1,1
106,ум,1.0,0.0,0.0,1,1,м,1,1
107,удар,1.0,0.0,0.0,1,1,р,2,1
108,уголок,1.0,0.0,0.0,1,1,к,3,1
109,телефон,1.0,0.0,0.0,1,1,н,3,1
110,рейс,1.0,0.0,0.0,1,1,с,1,1
111,телевизор,1.0,0.0,0.0,1,1,р,4,1
112,табун,1.0,0.0,0.0,1,1,н,2,1
113,суп,1.0,0.0,0.0,1,1,п,1,1
114,строительство,1.0,0.0,0.0,1,0,в,3,1
115,смысл,1.0,0.0,0.0,1,1,л,1,1
116,слонец,1.0,0.0,0.0,1,1,ц,2,1
117,сеновал,1.0,0.0,0.0,1,1,л,3,1
118,сапог,1.0,0.0,0.0,1,1,г,2,1
119,самолёт,1.0,0.0,0.0,1,1,т,3,1
120,полеводство,1.0,0.0,0.0,1,0,в,3,1
121,мотоцикл,1.0,0.0,0.0,1,1,л,3,1
122,покой,1.0,0.0,0.0,1,1,й,2,1
123,поезд,1.0,0.0,0.0,1,1,д,2,1
124,каравай,1.0,0.0,0.0,1,1,й,3,1
125,календарь,1.0,0.0,0.0,1,1,р',3,0
126,кабинет,1.0,0.0,0.0,1,1,т,3,1
127,интернет,1.0,0.0,0.0,1,1,т,3,1
128,запас,1.0,0.0,0.0,1,1,с,2,1
129,закон,1.0,0.0,0.0,1,1,н,2,1
130,жавинк,1.0,0.0,0.0,0,1,к,2,1
131,дух,1.0,0.0,0.0,1,1,х,1,1
132,диспансер,1.0,0.0,0.0,1,1,р,3,1
133,диван,1.0,0.0,0.0,1,1,н,2,1
134,дерево,1.0,0.0,0.0,1,0,в,2,1
135,день,1.0,0.0,0.0,1,1,н',1,0
136,декрет,1.0,0.0,0.0,1,1,т,2,1
137,гумно,1.0,0.0,0.0,1,0,н,1,1
138,госпиталь,1.0,0.0,0.0,1,1,л',3,0
139,горло,1.0,0.0,0.0,1,0,л,1,1
140,горлач,1.0,1.0,0.5,0,1,ч,2,1
141,горлач,1.0,1.0,0.5,1,1,ч,2,1
142,горлак,1.0,0.0,0.0,0,1,к,2,1
143,водопой,1.0,0.0,0.0,1,1,й,3,1
144,вид,1.0,12.0,0.9230769230769231,1,1,д,1,1
146,взгорок,1.0,1.0,0.5,1,1,к,2,1
148,веник,1.0,0.0,0.0,1,1,к,2,1
149,велосипед,1.0,0.0,0.0,1,1,д,4,1
150,бензин,1.0,0.0,0.0,1,1,н,2,1
151,баян,1.0,0.0,0.0,1,1,н,2,1
152,балкон,1.0,0.0,0.0,1,1,н,2,1
153,асфальт,1.0,0.0,0.0,1,1,т,2,1
154,карман,1.0,0.0,0.0,1,1,н,2,1
155,квадратик,1.0,0.0,0.0,1,1,к,3,1
156,класс,1.0,0.0,0.0,1,1,с,1,1
157,наряд,1.0,0.0,0.0,1,1,д,2,1
158,повод,1.0,0.0,0.0,1,1,д,2,1
159,плечо,1.0,0.0,0.0,1,0,ч,1,1
160,платьице,1.0,0.0,0.0,1,0,ц',2,0
161,платочек,1.0,0.0,0.0,1,1,к,3,1
162,палец,1.0,0.0,0.0,1,1,ц,2,1
163,отдых,1.0,0.0,0.0,1,1,х,2,1
164,октябрь,1.0,0.0,0.0,1,1,р',2,0
165,окно,1.0,0.0,0.0,1,0,н,1,1
166,огонёчек,1.0,0.0,0.0,1,1,к,4,1
167,огонь,1.0,0.0,0.0,1,1,н',2,0
168,обед,1.0,0.0,0.0,1,1,д,2,1
169,ноябрь,1.0,0.0,0.0,1,1,р',2,0
170,музей,1.0,0.0,0.0,1,1,й,2,1
171,колесо,1.0,0.0,0.0,1,0,с,2,1
172,мотор,1.0,0.0,0.0,1,1,р,2,1
173,море,1.0,0.0,0.0,1,0,р',1,0
174,мироторг,1.0,0.0,0.0,1,1,г,3,1
175,мешок,1.0,2.0,0.6666666666666666,1,1,к,2,1
177,лоб,1.0,0.0,0.0,1,1,б,1,1
178,лесничество,1.0,0.0,0.0,1,0,в,3,1
179,кузов,1.0,0.0,0.0,1,1,в,2,1
180,кубль,1.0,0.0,0.0,1,1,л',1,0
181,крылечко,1.0,0.0,0.0,1,0,к,2,1
182,круг,1.0,3.0,0.75,1,1,г,1,1
184,корзово,1.0,0.0,0.0,1,0,в,2,1
185,концлагерь,1.0,0.0,0.0,1,1,р',3,0
186,январь,1.0,0.0,0.0,1,1,р',2,0
187,год,0.0,61.0,1.0,1,1,д,1,1
188,лес,0.0,29.0,1.0,1,1,с,1,1
189,край,0.0,7.0,1.0,1,1,й,1,1
190,бок,0.0,6.0,1.0,1,1,к,1,1
191,мост,0.0,5.0,1.0,1,1,т,1,1
192,ход,0.0,4.0,1.0,1,1,д,1,1
193,сад,0.0,4.0,1.0,1,1,д,1,1
194,ров,0.0,3.0,1.0,1,1,в,1,1
195,гроб,0.0,3.0,1.0,1,1,б,1,1
196,бычок,0.0,3.0,1.0,1,1,к,2,1
197,пол,0.0,2.0,1.0,1,1,л,1,1
198,сундук,0.0,2.0,1.0,1,1,к,2,1
199,шкаф,0.0,2.0,1.0,1,1,ф,1,1
200,бугор,0.0,2.0,1.0,1,1,р,2,1
201,канаршино,0.0,1.0,1.0,1,0,н,3,1
202,бой,0.0,1.0,1.0,1,1,й,1,1
203,большак,0.0,1.0,1.0,1,1,к,2,1
204,хлев,0.0,1.0,1.0,1,1,в,1,1
