Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
0;духе;дух;inan;masc;х;1;в;Вот . В таком духе мы и жили : в труде
1;труде;труд;inan;masc;д;1;в;Вот . В таком духе мы и жили : в труде
2;духе;дух;inan;masc;х;1;в;Безобразничают , стёкла [ нрзб ] велосипедов и катаются , вот в таком духе . Вот и что это
3;огороде;огород;inan;masc;д;3;в;Или что - то там в огороде
4;лагере;лагер;inan;masc;р;2;в;В лагере . Може = вы не , вы проезжали , наверное , лагерь там детский стал вместо [ нрзб ] . .
5;деле;дело;inan;neut;л;1;на;И по телевизору , и . . . На самом деле всё
6;клубе;клуб;inan;masc;б;1;в;Да . . . Нет , у нас празднуют , там . . . Ну как , соберутся , выступление какое - то . Вот , в этом , клубе
7;духе;дух;inan;masc;х;1;в;Лошадь ? Колокольчиками , чего - то там , это , бубенчики повесить на дугу ей , и в таким духе вот . Катались
8;доме;дом;inan;masc;м;1;в;А кому не жалко ? Это в любом доме сейчас вон есть
9;духе;дух;inan;masc;х;1;в;Вот в таком духе мы и живём
10;духе;дух;inan;masc;х;1;в;Вот в таком духе
11;серванте;сервант;inan;masc;т;2;в;У меня такое яич = ну три года оно у меня стояло . В серванте
12;холодильнике;холодильник;inan;masc;к;4;в;В холодильнике , если долго нужно , неделю , там
13;месте;место;inan;neut;т;1;на;Я опять вернулась назад , опять на этом месте встала , смотрела - смотрела . .
14;конце;конец;inan;masc;ц;2;в;О = сейчас , в основном , одни ивановские , в том конце одни ивановские
15;конце;конец;inan;masc;ц;2;в;И в самом конце вот эти Пауковы . Четверо . И всё
16;детстве;детство;inan;neut;в;1;в;Раньше , в детстве , я помню , мы сидели , так , фуфайку накинешь . .
17;доме;дом;inan;masc;м;1;в;Вот в этот праздник она всегда , скотина , приучается . . . И это в каждом доме было вот
18;детстве;детство;inan;neut;в;1;в;Да раньше глотали , я помню , все равно так , в детстве
19;детстве;детство;inan;neut;в;1;в;[ нрзб ] я помню в детстве ну , мне лет десять было
20;детстве;детство;inan;neut;в;1;в;Вот это в детстве
23;духе;дух;inan;masc;х;1;в;Вот в таком духе
25;духе;дух;inan;masc;х;1;в;В таком духе
26;духе;дух;inan;masc;х;1;в;Вот в таком духе мы и . .
27;духе;дух;inan;masc;х;1;в;В таком духе
28;подносе;поднос;inan;masc;с;2;на;Вот такой он , на подносе . Вот его резали , часть еще [ нрзб
29;месте;место;inan;neut;т;1;в;"Или сядут в месте жениха : "" Давай тоже выкуп "" . Вот это было . Это было такое"
30;месте;место;inan;neut;т;1;на;"Сидите , где хотите . Так и буду на вашем месте сидеть , пока выкуп не дадут """
31;доме;дом;inan;masc;м;1;в;В доме — пожалуйста
32;июне;июнь;inan;masc;н';2;в;Это где - то в июне , в июле
33;июле;июль;inan;masc;л';2;в;Это где - то в июне , в июле
34;конце;конец;inan;masc;ц;2;в;Зимой бывают , проходят , там , это , в конце деревни
35;селе;село;inan;neut;л;1;на;народу так - то на селе нет
36;колхозе;колхоз;inan;masc;з;2;в;короче он работал тракто = ну , первый тракторист в [ нрзб ] колхозе был
37;селе;село;inan;neut;л;1;в;когда в селе с восемьдесят первом году до = домик построили
38;бугре;бугор;inan;masc;р;2;на;Ну они не были - то на бугре - то на Дмитриевом
39;агрегате;агрегат;inan;masc;т;3;на;Вот ну = ну , мы на моём агрегате поехали
40;диаметре;диаметр;inan;masc;р;3;в;[ Был ] холм , вот он холм ! Он примерно метров сто в диаметре
41;деле;дело;inan;neut;л;1;на;Вот , город он на самом деле , вот
42;бугре;бугор;inan;masc;р;2;на;Я вот , я = как Владимировна , приходит ко мне Владимировна , вот , говорит , Нина Владимировна , а почему на этом бугре ничего не растёт ? Вот кругом яблони уже там
43;центре;центр;inan;masc;р;1;в;И я вот начал бурить в одно место . Ну , в середине , в центре
44;песке;песок;inan;masc;к;2;на;ну , ну на песке ничего не растёт практически . Песок
45;Черемисе;черемис;inan;masc;с;3;в;молча , ничего не сказал , у себя вот , в Черемисе построил дом
46;районе;район;inan;masc;н;2;в;В Южском районе . Вот сейчас если перекрёсток перее = и = и вправо
47;озере;озеро;inan;neut;р;2;на;Ну , хотя бы потому , что я там вырос на = на берегах , на этом озере
48;месте;место;inan;neut;т;1;на;капало , это на новом месте , ну , тут старый дом стоял
49;подполе;подпол;inan;masc;л;2;в;И потом ещё находил их . Вот в подполе , из подполья выкапывал , эту , землю
50;доме;дом;inan;masc;м;1;в;Но вот в этом доме жила тоже , вот был Романов Андрей
51;результате;результат;inan;masc;т;3;в;Ну , и в результате их было две сестры
52;числе;число;inan;neut;л;1;в;она обучала , в том числе и бабушку Дикиных
53;Ландехе;ландех;inan;masc;х;2;в;По = похоронена могила в Нижнем Ландехе
54;курсе;курс;inan;masc;с;1;в;Андрей тот , ну , он близко был в этом курсе дела - то тут
55;перекрёстке;перекрёсток;inan;masc;к;4;на;грабили в основном родионовские . Тут Родионово деревня вот на перекрёстке , была деревня Родионово
56;магазине;магазин;inan;masc;н;3;в;продавщицей в магазине сейчас работает
57;рынке;рынок;inan;masc;к;2;на;приметы - то назвал , Ан = Анна - то его дочь . Я , говорит , не знаю , как его звать , ни фамилии , но он , говорит , на рынке всё время этот мужичок
58;озере;озеро;inan;neut;р;2;на;на этом озере . Он и есть сейчас там на этом озере
59;озере;озеро;inan;neut;р;2;на;на этом озере . Он и есть сейчас там на этом озере
60;районе;район;inan;masc;н;2;в;Вот один раз они ограбили в Помогалове мельницу ветряную . Вот , это в Палехском районе
61;магазине;магазин;inan;masc;н;3;в;аж трясся . Сам в м = в магазине работает , но трясся
62;итоге;итог;inan;masc;г;2;в;И этот магазин в итоге - то всё равно ограбили . Вот
63;месте;место;inan;neut;т;1;на;вот раньше не ра = не разрешали вот на этом месте строиться
64;интернете;интернет;inan;masc;т;3;в;Ну , в интернете я читал , что князь , этот Гончаров какой - то , ему двадцать
65;селе;село;inan;neut;л;1;в;получил он наследство в селе = в селе Мугреево , полотняную фабрику
66;селе;село;inan;neut;л;1;в;получил он наследство в селе = в селе Мугреево , полотняную фабрику
67;возрасте;возраст;inan;masc;т;2;в;своих детей , - и он собственноручно в десятилетнем возрасте , может , это и приписывают , конечно , ему , но
68;интернете;интернет;inan;masc;т;3;в;восьмидесятый год . Я карту вот , ну , находил в интернете
70;возрасте;возраст;inan;masc;т;2;в;с подачи матери тут было сделано , не = не = не мог он в десятилетнем возрасте , да
71;ключе;ключ;inan;masc;ч;1;на;воду брать и в Москве продавать на этом ключе
72;интернете;интернет;inan;masc;т;3;в;она в интернете , кстати , есть
73;интернете;интернет;inan;masc;т;3;в;Курзин её фотографировал и поместил в интернете такая красавица стоит
74;месте;место;inan;neut;т;1;на;икона не = не = не на месте появилась . Ладно , а я го =
75;посёлке;посёлок;inan;masc;к;3;в;Был = и у нас , и = и не очень давно , тоже из - за самогонки , там вот в посёлке сгорело , тоже было дело так
76;доме;дом;inan;masc;м;1;в;У каждого в доме [ нрзб ] были , вёдра были , да
