,word,lema,animacy,gender,finale,n_syll,preposition,context
0,гробу,гроб,inan,masc,б,1,в,"У нас очень много в семье , вот , в гробу . Умерли"
1,лесу,лес,inan,masc,с,1,в,"Это такой день , видимо , собираются все змеи в лесу . Клубками прям , говорят"
2,лесу,лес,inan,masc,с,1,в,"Он говорит , а Степаныч - он всю жизнь проработал в лесу вот , на химбараках , . ."
3,лесу,лес,inan,masc,с,1,в,[ нрзб в лесу
4,году,год,inan,masc,д,1,в,"Здесь уже , в Мугреево , было , была в пятьдесят восьмом году здесь провели свет сюда"
5,году,год,inan,masc,д,1,в,"Это с четырнадцатого года примерно , в четырнадцатом году"
6,году,год,inan,masc,д,1,в,"Андрей Романов , он мне сказал , в двадцать пятом году отвёз его"
7,году,год,inan,masc,д,1,в,"Значит , не в двадцать , а в тридцать пятом году . Просто он , Андрей , он любил приврать . И вот"
8,мосту,мост,inan,masc,т,1,на,"Она ей , наверное , прапрапрабабушка . Короче , вышел мужик на Крашёном мосту . Деньги , давай деньги . Она говорит"
9,году,год,inan,masc,д,1,в,"В отставку , да . И во = а его отец рос у нас в усадьбе , это в пятидесятом году было"
10,году,год,inan,masc,д,1,в,"Где - то в тысяча восемьсот , не помню я , в каком году"
11,году,год,inan,masc,д,1,в,"Да не знаю , у нас тут кто тут , что , в каком году жил , сколько лет - то было"
12,году,год,inan,masc,д,1,в,"Лечился , лечился просто от ран , не знаю , в тысяча шестьсот одиннадцатом году он был , вот его лечили"
13,году,год,inan,masc,д,1,в,"Шесть = . . . Да , она вот толстая . В этом году"
14,году,год,inan,masc,д,1,в,"Ну - ка , вот , ну я в шестьдесят восьмом году отправлялся , это ж вообще недавно было - то"
15,году,год,inan,masc,д,1,в,"вот магазин вот стоит здесь , он в пятьдесят четвёртом году построен - то"
16,дому,дом,inan,masc,м,1,на,Во = вот у них на дому -
17,году,год,inan,masc,д,1,в,"Ну , когда были вот в десятом году , я говорила , обходили"
18,году,год,inan,masc,д,1,в,Его вон сослали туда . И вот он = а в потом он в шестом году умер
19,году,год,inan,masc,д,1,в,В шестом году вот он умер
20,году,год,inan,masc,д,1,в,"это , из зе = в тысяча восемьсот пятидесятом году карта"
21,году,год,inan,masc,д,1,в,"но они тоненькие - тоненькие . Вот когда , в каком году она , конечно , была сделана , не знаю"
22,году,год,inan,masc,д,1,в,"В шестьдесят седьмом году , вот в Бобрихе нашли комсомольский его"
23,году,год,inan,masc,д,1,в,Потому что мы её хоронили в семьдесят девятом году
24,году,год,inan,masc,д,1,в,Муж у неё погиб в сорок третьем
25,полу,пол,inan,masc,л,1,на,и там на полу монеты валяются
26,году,год,inan,masc,д,1,в,"два , рожденного в семьдесят первом году были"
27,лесу,лес,inan,masc,с,1,в,"Знаю ещё одно место , где - то там ведь было в лесу , но я туда ни разу не ходила"
28,лесу,лес,inan,masc,с,1,в,"В лесу , где - то вот там , пусть даже на поле , на опушках , где - нибудь тут"
29,лесу,лес,inan,masc,с,1,в,"вот за всё время , я не слышала , чтобы в лесу кто - то пропал"
30,лесу,лес,inan,masc,с,1,в,"И причащает там . А потом у нас еще есть храм , туда дальше , в лесу"
31,лесу,лес,inan,masc,с,1,в,"В лесу , вот пять километров от нас . Там егорьевская фабрика"
32,берегу,берег,inan,masc,г,2,на,Вот пять километров . На Тезе стоит он . На берегу Тезы хорошие храмы
33,берегу,берег,inan,masc,г,2,на,И свалился . Прямо на . . . на берегу
34,Богу,бог,anim,masc,г,1,в,Девицу за это . Пойду я с горя в монастырь и Богу помолюсь
35,лесу,лес,inan,masc,с,1,в,"Она в лесу . Батюшек не было уж там , никого не было"
36,году,год,inan,masc,д,1,на,Я вышла на двадцать четвертом году замуж - то
37,народу,народ,inan,masc,д,2,в,"с хоругвями ходили . А нас , детей , в середке . Много народу - то было"
38,Богу,бог,anim,masc,г,1,в,"В церковь . Богу молиться , с вербой"
39,лесу,лес,inan,masc,с,1,в,А теперь ягоды не растут . Все заросло лесом . И грибы - то не растут в лесу - то
40,банку,банк,inan,masc,к,1,в,"Она в литровую банку . Я говорю : "" Ты ее в воду посади"
41,кусту,куст,inan,masc,т,1,на,"А поглядела , а на кусту - то . . . Куст невысокий"
42,полу,пол,inan,masc,л,1,на,"Открыла , а чайник - то валяется на полу"
43,году,год,inan,masc,д,1,в,"у снохи - то , умерла мать и отец в одном году"
44,лесу,лес,inan,masc,с,1,в,Работает тут в лесу . И то временно
45,полу,пол,inan,masc,л,1,на,"А вот он . . . Он валяется на полу , вот его подбирают и вот бьют"
46,гробу,гроб,inan,masc,б,1,в,"даже водили , в гробу покойника носили"
47,гробу,гроб,inan,masc,б,1,в,В это = прям в гробу
48,лесу,лес,inan,masc,с,1,в,В ле = в лесу . А потом в этом . .
49,полу,пол,inan,masc,л,1,на,"А то , бывало , каждую Троицу вот такой слой травы лежит на , на полу - то"
50,роду,род,inan,masc,д,1,в,Что вот это у нас в роду
51,роду,род,inan,masc,д,1,в,"Вот , что вот . . . Чего - то вот у нас . . . В роду - то чего - то , я не знаю"
52,лесу,лес,inan,masc,с,1,в,в лесу . Вот они как - то
53,лесу,лес,inan,masc,с,1,в,"Нет , я в колхозе не работала . Я работала в лесу"
54,году,год,inan,masc,д,1,в,Вот представьте себе : я в тридцатом году родилась
55,году,год,inan,masc,д,1,в,"Праздники ? Праздников , конечно , было у нас . . . Один - единственный праздник в году был"
56,году,год,inan,masc,д,1,в,"Мы её берегли , я её только один раз в году . . ."
57,углу,угол,inan,masc,л,2,в,"Здесь вот кровать стояла деревянная , бабушка , в углу . С = бабушка спала"
58,веку,век,inan,masc,к,1,в,"Ведь , Господи . Чего только не пережила я в своём веку , ой"
59,берегу,берег,inan,masc,г,2,на,"Ну , вообще - то , она говорит , они - то на берегу"
60,скоту,скот,inan,masc,т,1,на,"он = они шли на корм скоту , их пере = перемалывали вот"
61,скоту,скот,inan,masc,т,1,на,"Вот , государство . А в остальном всё на корм скоту хранили"
62,дому,дом,inan,masc,м,1,в,"Да , в дому , да . Вот про скотину не знаю"
63,году,год,inan,masc,д,1,в,"его взяли не в сорок первом , в сорок втором году , вот с Сергеева - то"
64,году,год,inan,masc,д,1,в,"Он уж пришёл в сорок шестом году , папа - то"
65,году,год,inan,masc,д,1,в,"Вот . В сорок шестом году , где - то в фе = , в начале февраля , что ли , папа - то пришёл"
66,дому,дом,inan,masc,м,1,в,"вот . Дети его тут были . Даже вот , мы жили в этом дому"
67,углу,угол,inan,masc,л,2,в,"Сначала там был , жители вот жили , потом библиотека там была , в этом углу , потом контора , потом типа как вот это строилось , клуб"
68,дому,дом,inan,masc,м,1,в,там клуб открыли в этом
69,пруду,пруд,inan,masc,д,1,на,"вырезали на пруду вот это , ледянки -"
70,лесу,лес,inan,masc,с,1,в,"В лесу ? Не - не - не , ничего не боялись"
71,году,год,inan,masc,д,1,в,"Да , вотя в школу ходила - вот Гагарин полетел в космос в шестьдесят первом году"
72,году,год,inan,masc,д,1,в,В шестьдесят восьмом году я вышла замуж
73,году,год,inan,masc,д,1,в,"Все . Вот я помню один , я уже вот здесь стала жить , это в двухтысячном году мы сюда перешли"
74,году,год,inan,masc,д,1,в,"Тогда , в десятом году , сколько пожаров - то было"
75,полу,пол,inan,masc,л,1,на,"Затопи печку и ложись на полу , и клади с собой девчушку ту в середку """
76,верху,верх,inan,masc,х,1,на,"И самовар мы держали на руках на первом месте , на верху - то"
77,году,год,inan,masc,д,1,в,Там родился у меня вот Витек в шестьдесят первом году
78,году,год,inan,masc,д,1,в,И в шестьдесят девятом году мы отстроились
79,году,год,inan,masc,д,1,в,"Да вот у меня , у меня Коле будет вот , мне будет восемьдесят лет в двадцатом году"
80,виду,вид,inan,masc,д,1,в,"Нет , нет , я имею в виду в клубе - то"
81,берегу,берег,inan,masc,г,2,на,"Давай зайдём на кленковскую , покупаемся "" . А пришла , она лежала на берегу"
82,гробу,гроб,inan,masc,б,1,в,"дядю Борю , тогда в гробу припёрли даже , да - да"
83,попу,поп,anim,masc,п,1,об,об угол попу потрём
84,полу,пол,inan,masc,л,1,на,"На полу спали . Мы спим на полу , на войлоке"
85,полу,пол,inan,masc,л,1,на,"На полу спали . Мы спим на полу , на войлоке"
86,году,год,inan,masc,д,1,в,"Давала чего - то тогда , девчонки , нечего было давать в шестьдесят втором году"
87,банку,банк,inan,masc,к,1,в,"и пустили ключ туда , в трёхлитровую банку"
88,полу,пол,inan,masc,л,1,на,"Так играли , играли вот на полу - то"
89,полу,пол,inan,masc,л,1,на,"Маленький когда был , на полу начнём"
90,лесу,лес,inan,masc,с,1,в,"А в лес . . . Раньше в лесу были , был порядок . Ой . ."
91,лесу,лес,inan,masc,с,1,в,"Такой был порядок в лесу . Дороги были , трактора ездили"
92,лесу,лес,inan,masc,с,1,в,У нас проблемы с дровами . Мы живём кругом в лесу
