,lema,animacy,gender,finale,n_syll,soft0
0,дух,1,1,х,1,1
1,труд,1,1,д,1,1
2,дух,1,1,х,1,1
3,огород,1,1,д,3,1
4,лагер,1,1,р,2,1
5,дело,1,0,л,1,1
6,клуб,1,1,б,1,1
7,дух,1,1,х,1,1
8,дом,1,1,м,1,1
9,дух,1,1,х,1,1
10,дух,1,1,х,1,1
11,сервант,1,1,т,2,1
12,холодильник,1,1,к,4,1
13,место,1,0,т,1,1
14,конец,1,1,ц,2,1
15,конец,1,1,ц,2,1
16,детство,1,0,в,1,1
17,дом,1,1,м,1,1
18,детство,1,0,в,1,1
19,детство,1,0,в,1,1
20,детство,1,0,в,1,1
21,дух,1,1,х,1,1
22,дух,1,1,х,1,1
23,дух,1,1,х,1,1
24,дух,1,1,х,1,1
25,поднос,1,1,с,2,1
26,место,1,0,т,1,1
27,место,1,0,т,1,1
28,дом,1,1,м,1,1
29,июнь,1,1,н',2,0
30,июль,1,1,л',2,0
31,конец,1,1,ц,2,1
32,село,1,0,л,1,1
33,колхоз,1,1,з,2,1
34,село,1,0,л,1,1
35,бугор,1,1,р,2,1
36,агрегат,1,1,т,3,1
37,диаметр,1,1,р,3,1
38,дело,1,0,л,1,1
39,бугор,1,1,р,2,1
40,центр,1,1,р,1,1
41,песок,1,1,к,2,1
42,черемис,1,1,с,3,1
43,район,1,1,н,2,1
44,озеро,1,0,р,2,1
45,место,1,0,т,1,1
46,подпол,1,1,л,2,1
47,дом,1,1,м,1,1
48,результат,1,1,т,3,1
49,число,1,0,л,1,1
50,ландех,1,1,х,2,1
51,курс,1,1,с,1,1
52,перекрёсток,1,1,к,4,1
53,магазин,1,1,н,3,1
54,рынок,1,1,к,2,1
55,озеро,1,0,р,2,1
56,озеро,1,0,р,2,1
57,район,1,1,н,2,1
58,магазин,1,1,н,3,1
59,итог,1,1,г,2,1
60,место,1,0,т,1,1
61,интернет,1,1,т,3,1
62,село,1,0,л,1,1
63,село,1,0,л,1,1
64,возраст,1,1,т,2,1
65,интернет,1,1,т,3,1
66,возраст,1,1,т,2,1
