,lema,0e_num,0y_num,perc,animacy,gender,finale,n_syll,soft0
0,дом,43.0,4.0,0.0851063829787234,1,1,м,1,1
2,клуб,18.0,0.0,0.0,1,1,б,1,1
3,ландех,18.0,0.0,0.0,1,1,х,2,1
4,место,17.0,0.0,0.0,1,0,т,1,1
5,колхоз,16.0,0.0,0.0,1,1,з,2,1
6,магазин,13.0,0.0,0.0,1,1,н,3,1
7,село,12.0,0.0,0.0,1,0,л,1,1
8,дух,10.0,0.0,0.0,1,1,х,1,1
9,поле,10.0,0.0,0.0,1,0,л',1,0
10,детство,9.0,0.0,0.0,1,0,в,1,1
11,чердак,9.0,0.0,0.0,1,1,к,2,1
12,огород,8.0,0.0,0.0,1,1,д,3,1
13,порядок,8.0,0.0,0.0,1,1,к,3,1
14,конец,8.0,0.0,0.0,1,1,ц,2,1
15,волокобино,8.0,0.0,0.0,1,0,н,4,1
16,интернет,8.0,0.0,0.0,1,1,т,3,1
17,месяц,8.0,0.0,0.0,1,1,ц,2,1
18,дело,7.0,0.0,0.0,1,0,л,1,1
19,район,7.0,0.0,0.0,1,1,н,2,1
20,случай,7.0,0.0,0.0,1,1,й,2,1
21,озеро,6.0,0.0,0.0,1,0,р,2,1
22,кладбище,5.0,0.0,0.0,1,0,щ',2,0
23,стол,5.0,0.0,0.0,1,1,л,1,1
24,август,5.0,0.0,0.0,1,1,т,2,1
25,болото,5.0,0.0,0.0,1,0,т,2,1
26,спирт,4.0,0.0,0.0,1,1,т,1,1
27,двор,4.0,0.0,0.0,1,1,р,1,1
28,коридор,4.0,0.0,0.0,1,1,р,3,1
29,костюм,4.0,0.0,0.0,1,1,м,2,1
30,кресло,4.0,0.0,0.0,1,0,л,1,1
31,крыльцо,4.0,0.0,0.0,1,0,ц,1,1
32,принцип,3.0,0.0,0.0,1,1,п,2,1
33,июль,3.0,0.0,0.0,1,1,л',2,0
34,велосипед,3.0,0.0,0.0,1,1,д,4,1
35,тулуп,3.0,0.0,0.0,1,1,п,2,1
36,город,3.0,0.0,0.0,1,1,д,2,1
37,число,3.0,0.0,0.0,1,0,л,1,1
38,сентябрь,3.0,0.0,0.0,1,1,р',2,0
39,апрель,3.0,0.0,0.0,1,1,л',2,0
40,лифт,2.0,0.0,0.0,1,1,т,1,1
41,садик,2.0,0.0,0.0,1,1,к,2,1
42,возраст,2.0,0.0,0.0,1,1,т,2,1
43,кольцо,2.0,0.0,0.0,1,0,ц,1,1
44,труд,2.0,0.0,0.0,1,1,д,1,1
45,вид,2.0,1.0,0.3333333333333333,1,1,д,1,1
47,конь,2.0,0.0,0.0,0,1,н',1,0
48,перекрёсток,2.0,0.0,0.0,1,1,к,4,1
49,бульвар,2.0,0.0,0.0,1,1,р,2,1
50,полукомодник,2.0,0.0,0.0,1,1,к,5,1
51,плечо,2.0,0.0,0.0,1,0,ч,1,1
52,начало,2.0,0.0,0.0,1,0,л,2,1
53,автобус,2.0,0.0,0.0,1,1,с,3,1
54,смысл,2.0,0.0,0.0,1,1,л,1,1
55,сундук,2.0,0.0,0.0,1,1,к,2,1
56,полеводство,2.0,0.0,0.0,1,0,в,3,1
57,бугор,2.0,0.0,0.0,1,1,р,2,1
58,поезд,2.0,0.0,0.0,1,1,д,2,1
