Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
0;автобусе;автобус;inan;masc;с;3;на;Был , у сына был , но он гов . . . вот , душа не . . . он говорит : не нужна мне машина , я , говорит , лучше на автобусе
1;классе;класс;inan;masc;с;1;в;Да ну в пятый класс ходила , а уж он в пятом классе был , немецкий - то
2;зале;зал;inan;masc;л;1;в;Ну и он , ну , это , один в зале , а другой в этом
3;автобусе;автобус;inan;masc;с;3;на;А тебе до Хлевного , то на хлевенском , на хлевенском надо автобусе , а это вот он липецкий не заходит в Хлевное
4;автобусе;автобус;inan;masc;с;3;на;А вечером оттэда тогда , какие работают , они все тоже на этом автобусе приезжают домой
5;магазине;магазин;inan;masc;н;3;в;Но ! Да полотно вот , и в магазине берешь , сколько полотна , говорит , набрала
6;базаре;базар;inan;masc;р;2;на;Потом ещё раз в Москве картошки продавали на каком - то базаре
7;рынке;рынок;inan;masc;к;2;на;На Черкизовском рынке
8;станке;станок;inan;masc;к;2;на;Выткут на станке - а на реку замачивать эти холсты
10;конце;конец;inan;masc;ц;2;на;Один ворох на одном конце , а другой ворох на втором
11;классе;класс;inan;masc;с;1;в;в третьем классе . .
12;языке;язык;inan;masc;к;2;в;Да нет такого слова в русском языке
13;конце;конец;inan;masc;ц;2;в;Базар вон где , в конце этого . . . района , а автостанция
14;огороде;огород;inan;masc;д;3;на;Нет , на огороде у нас нет , весенки есть , вон там на меже , весенки
15;огороде;огород;inan;masc;д;3;на;Нет , не лежит , она что - то там делала на огороде
16;огороде;огород;inan;masc;д;3;на;Ну , вот чего сейчас делать на огороде
17;селе;село;inan;neut;л;1;в;Ещё в каком - то селе уже , все повырыли
18;Коне;конь;inan;masc;н';1;в;Из Легощины , в Коне живут , в Коне . . . да , из Легощинских
19;Коне;конь;inan;masc;н';1;в;Из Легощины , в Коне живут , в Коне . . . да , из Легощинских
20;погребе;погреб;inan;masc;б;2;в;Там вот в погребе жара , как зайдёшь , так вообще невозможно , < нрзб . >
21;клубе;клуб;inan;masc;б;1;в;И сейчас она работает там в клубе
22;классе;класс;inan;masc;с;1;в;А это было , наверное . . . в третьем классе
23;колхозе;колхоз;inan;masc;з;2;в;И так в колхозе остались и остались
24;курсе;курс;inan;masc;с;1;на;Это уж после , на третьем курсе дали , а так на квартире жил
