Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
0;году;год;inan;masc;д;1;в;Не знаю , в каком году он умер
1;году;год;inan;masc;д;1;в;Ну голод тоже говорят , голод , вот в этом году это будет номер один голод . Будет , наверное
2;берегу;берег;inan;masc;г;2;на;Прямо на берегу - окунем и стелим , чтобы он побелел , чтобы солнце его съедало бы , ха - ха
3;часу;час;inan;masc;с;1;в;А машина в пятом часу , в пять часов , наверное
4;году;год;inan;masc;д;1;в;Прям машина придёт , и продавают . А в этом году . .
5;логу;лог;inan;masc;г;1;в;А почему ? Есть у нас вья . . . вязы , вон там в логу много растут
6;берегу;берег;inan;masc;г;2;на;Он сидит на . . . у берега ай на берегу
7;берегу;берег;inan;masc;г;2;на;На берегу . По - моему - на берегу . Я что - йто не знаю
8;берегу;берег;inan;masc;г;2;на;На берегу . По - моему - на берегу . Я что - йто не знаю
9;берегу;берег;inan;masc;г;2;на;Сейчас кувшинчики , говорит , аж на берегу
10;берегу;берег;inan;masc;г;2;на;Почему они на берегу
11;котлу;котёл;inan;masc;л;2;на;Чистоплотная , а это , на этом , на котлу лежат они у нее
12;котлу;котёл;inan;masc;л;2;на;На каком котлу
13;котлу;котёл;inan;masc;л;2;на;Ну на газовом котлу
14;полу;пол;inan;masc;л;1;на;Это - пост . . . на постель была . На полу стелили и спали
15;снегу;снег;inan;masc;г;1;на;Тятьки делали на снегу
16;году;год;inan;masc;д;1;в;А потом этого в семьдесят первом году родила , Сережку , последнего
17;саду;сад;inan;masc;д;1;в;Да , у нас в саду , выщенки - то есть , вон выщенки сейчас . .
19;саду;сад;inan;masc;д;1;в;В саду , вот очевидец я прям это
20;полу;пол;inan;masc;л;1;на;На полу там , на конике , где стелят этот войлок
21;низу;низ;inan;masc;з;1;на;Да . Там у нас на низу
22;низу;низ;inan;masc;з;1;на;Или на низу . А это - по низу - это что это
24;дыму;дым;inan;masc;м;1;в;Ну там всё в дыму
25;низу;низ;inan;masc;з;1;на;Вот это , там низ , хвост , от Малининой кусок . А он нам на низу числится , мы - то на горе живем , а они - там низ
26;низу;низ;inan;masc;з;1;на;Да , на низу была
27;низу;низ;inan;masc;з;1;на;Где Дашка была ? Да на низу , с низу пришла вон , с низа
28;носу;нос;inan;masc;с;1;на;На носу , там . .
29;носу;нос;inan;masc;с;1;на;На носу там чирей вскочил
30;носу;нос;inan;masc;с;1;на;Зимой замо . . . замёрзнет , и будет висеть , мы говорим , ох , сопли распустил , сосулька висит на носу
31;году;год;inan;masc;д;1;в;Она пришла работать в пятьдесят седьмом году , а я в пятьдесят седьмом вышла замуж
32;году;год;inan;masc;д;1;в;Никто человек в доме счастливого в этом году не будет
33;берегу;берег;inan;masc;г;2;на;На берегу утопла
34;году;год;inan;masc;д;1;в;Мне уж сколько ? Это в каком году Валька кончала
35;низу;низ;inan;masc;з;1;на;Это если в Журавлевке , вот , внизу , например они там , на низу , на селе , значит - здесь где - то , где - то высоко здесь
36;дому;дом;inan;masc;м;1;на;На дому
37;дому;дом;inan;masc;м;1;на;Да , на дому
38;году;год;inan;masc;д;1;в;Еще где - то в двухтысячном году про неё писали , церковь восстанавливаться будет , да ? Сейчас две тысячи десятый . Только фундамент снесли
40;берегу;берег;inan;masc;г;2;на;А , ну , тут один мужик жил там на берегу реки , и его дразнили - Жук
41;столбу;столб;inan;masc;б;1;на;И говорит , счётчику , счётчики не будут , это у вас , и там на столбу . Уже не унесёшь ничего
42;низу;низ;inan;masc;з;1;на;и на низу
44;берегу;берег;inan;masc;г;2;на;вода сходит , она прям на берегу , подсохнет маленько , подсохнет , лежит на берегу - подсохнет
45;берегу;берег;inan;masc;г;2;на;вода сходит , она прям на берегу , подсохнет маленько , подсохнет , лежит на берегу - подсохнет
46;берегу;берег;inan;masc;г;2;на;на берегу , и потом их о . . . очищаем и и едим это
47;цепу;цеп;inan;masc;п;1;на;Да , да , а это вот самый и был , на цепу привязанный , тепок такой
48;гужу;гуж;inan;masc;ж;1;на;На гужу или на чём , чем это . .
49;шесту;шест;inan;masc;т;1;на;Да , вон тут на этом , это вот тепок , мотался да на шесту . И вот эту . .
50;углу;угол;inan;masc;л;2;в;Хлеб иль что - йто зашли покупать там в углу - там и тоже как кустарник
51;логу;лог;inan;masc;г;1;в;Вот здесь вот , вот в этом логу
54;боку;бок;inan;masc;к;1;на;И там вон , на энтом боку села случился пожар
55;году;год;inan;masc;д;1;в;Вот Сашка с армии пришёл в восьмидесятом году , и тоже плохо было , даже спортивного костюма не было
56;лесу;лес;inan;masc;с;1;в;Ох , какой дым - то в лесу
57;году;год;inan;masc;д;1;в;А мы - то в этом году шесть тонн получили - то - у нас хватит еще на год
58;берегу;берег;inan;masc;г;2;на;А энта не брала , а энтот он жених , у нее один жених живет , жил - был на реке вон там на берегу
59;льду;лёд;inan;masc;д;1;на;Потом , на льду - то она чистая , снег просеется
60;валу;вал;inan;masc;л;1;на;Вторую , третью , и вот на этом валу , наделают копён , ну ка . . . сколь длина бура . . . площадь
61;боку;бок;inan;masc;к;1;на;А как же , говорит , палатки вон на энтом боку - то , как же они не боятся - то
62;боку;бок;inan;masc;к;1;на;Не знаю . На каком на энтом боку ? Через реку
63;лесу;лес;inan;masc;с;1;в;А я говорю , как же они там змей не боятся , там в лесу небось змеи - то , кишат
65;отпуску;отпуск;inan;masc;к;2;в;Ну , он - то приезжал , тут месяцами в отпуску жил , и она приезжала сюда , и с ребёнком тут
66;хрестцу;хрестец;inan;masc;ц;2;в;В хрестцу было , наверное , тринадцать снопов
67;низу;низ;inan;masc;з;1;на;Какие на низу жили , им ловко было
69;году;год;inan;masc;д;1;в;У , да уж давно , вот в семидесятом году вот тут вот кирпич стали выписывать , у нас вот покупали - нам вот свекр , свекры - вот тут это место - деревянный домик был
70;берегу;берег;inan;masc;г;2;на;Дым , горит там , горит . Где мы с тобой стояли там на этом на берегу вот , внизу - то это
71;квасу;квас;inan;masc;с;1;в;Ну , гуща - вот , в квасу
73;году;год;inan;masc;д;1;в;А сахарную свеклу мы , вот , и в этом году только не кушали . А вот в совхозе поля сажали , раньше бегали туда , воровали , причем там вкуснее , слаще
76;ногтю;ноготь;inan;masc;т';2;на;Ну конечно , ну - на ногтю горит
77;саду;сад;inan;masc;д;1;в;В сельсовет понесет газеты , а здесь в саду , школьный сад - ни одной яблочки , говорит , нету
78;горбу;горб;inan;masc;б;1;на;У него на горбу щетина , вот такие прям иголчаки
79;шесту;шест;inan;masc;т;1;на;На деньги , бывало , с покойницей с Макарихой с бабкой , ну . . . назад - наперёд этих , на шесту , вёдра или там кошёлку . .
81;столбу;столб;inan;masc;б;1;на;Поди , вон хватишься - он вон наверху на столбу сидит котёнок . А как он
82;низу;низ;inan;masc;з;1;на;Да , на низу жили
83;году;год;inan;masc;д;1;на;Ну вот , а я вышла - шестнадцать лет , на семнадцатом году
84;году;год;inan;masc;д;1;в;И вот я когда сидела , в сороковом году , ой
85;часу;час;inan;masc;с;1;в;Когда пятницу - в двенадцать двадцать лебо как - то , в первом часу
89;шесту;шест;inan;masc;т;1;на;И знаешь , отец мой поймал сома , - на этой , на шесту носили в Дубовой
90;шесту;шест;inan;masc;т;1;на;Ну , не донесли , вдвоем на шесту , такой сом попался
92;кругу;круг;inan;masc;г;1;во;Ну это наш престол , праздник , а это вот годовые праздники , это вот во кругу , двенадцать праздников
94;углу;угол;inan;masc;л;2;в;А вербушки стоя . . . в святом углу
95;году;год;inan;masc;д;1;в;И - в каком же это году - то
96;году;год;inan;masc;д;1;в;А мне , с тридцать второго , будет значит в сто двенадцатом году восемьдесят лет
97;углу;угол;inan;masc;л;2;на;Одна вот вон там вон вон там на углу живет , а одна вон туда пониже , где сейчас би . . . эт клуб , прям через дорогу , там это тоже моя родня
99;году;год;inan;masc;д;1;в;Вот в этом году правда , нет ни одного сома
101;рту;рот;inan;masc;т;1;во;Вот прям будут , говорит , у меня во рту волосы , как будто ела их
102;полу;пол;inan;masc;л;1;на;Это раньше было , на полу спали - то , и вот какие - то дерюжки
103;году;год;inan;masc;д;1;в;а на вто . . . в две тысячи втором году он разбился , а в две тысячи третьем году восьмого марта кусает лиса бешеная корову
104;году;год;inan;masc;д;1;в;а на вто . . . в две тысячи втором году он разбился , а в две тысячи третьем году восьмого марта кусает лиса бешеная корову
105;году;год;inan;masc;д;1;в;вот в этом году сколько ? опять Сережка ездил за осеменатором
106;году;год;inan;masc;д;1;в;Ну вот он в этом году сказал , где взять
107;году;год;inan;masc;д;1;в;И уж в этом году скачивали , уж в этой , в милиции
108;году;год;inan;masc;д;1;в;За . . . вот в каком Оля , в каком году
109;году;год;inan;masc;д;1;в;я в школу пошла девяти , когда война началась в сорок первом году , я в школу пошла
110;году;год;inan;masc;д;1;в;И вот он в семьдесят первом году умирал и приказывал
111;году;год;inan;masc;д;1;в;Все , все дети , ну чем поминать было в сорок шестом году
112;году;год;inan;masc;д;1;в;И вот он умер в девяносто седьмом году
113;полу;пол;inan;masc;л;1;на;и на полу упал и умер , нитроглицерин остался в пузырьке не открытый , не управился открыть
114;году;год;inan;masc;д;1;в;В каком же году мы последний вот , сфотографировались все четверо
115;берегу;берег;inan;masc;г;2;на;Лебеда трава . Посеяли лебеду на берегу
116;пню;пень;inan;masc;н';1;на;И мы на этом пню колотилися
117;пню;пень;inan;masc;н';1;на;На этом пню
118;льду;лёд;inan;masc;д;1;на;положишь на лёд , и на льду
122;лесу;лес;inan;masc;с;1;в;И нашла его где - то . В лесу лебо он у нас схоронился
126;ветру;ветер;inan;masc;р;2;на;И на ветру отвевают , ох
127;году;год;inan;masc;д;1;в;Семь лет . А другие , а это , двойняшки . . . Двойняшек мама родила в пятьдесят втором году
128;рту;рот;inan;masc;т;1;во;во рту они для красоты
129;бою;бой;inan;masc;й;1;в;Ну бой это же это , воюют , в бою
130;лесу;лес;inan;masc;с;1;в;В лесу где - нибудь вон
