,lema,animacy,gender,finale,n_syll,accent,soft0
0,автобус,1,1,с,3,0,1
1,класс,1,1,с,1,0,1
2,зал,1,1,л,1,0,1
3,автобус,1,1,с,3,0,1
4,автобус,1,1,с,3,0,1
5,магазин,1,1,н,3,0,1
6,базар,1,1,р,2,0,1
7,рынок,1,1,к,2,0,1
8,станок,1,1,к,2,0,1
9,конец,1,1,ц,2,0,1
10,класс,1,1,с,1,0,1
11,язык,1,1,к,2,0,1
12,конец,1,1,ц,2,0,1
13,огород,1,1,д,3,0,1
14,огород,1,1,д,3,0,1
15,огород,1,1,д,3,0,1
16,село,1,0,л,1,0,1
17,конь,1,1,н',1,0,0
18,конь,1,1,н',1,0,0
19,погреб,1,1,б,2,0,1
20,клуб,1,1,б,1,1,1
21,класс,1,1,с,1,0,1
22,колхоз,1,1,з,2,0,1
23,курс,1,1,с,1,0,1
24,техникум,1,1,м,3,0,1
25,конь,1,1,н',1,0,0
26,огород,1,1,д,3,0,1
27,магазин,1,1,н,3,0,1
28,ведро,1,0,р,1,0,1
29,забор,1,1,р,2,0,1
30,город,1,1,д,2,0,1
31,город,1,1,д,2,0,1
32,дом,1,1,м,1,1,1
33,амбар,1,1,р,2,0,1
34,амбар,1,1,р,2,0,1
35,сарафанчик,1,1,к,4,0,1
36,совхоз,1,1,з,2,0,1
37,город,1,1,д,2,0,1
38,сон,1,1,н,1,0,1
39,сон,1,1,н,1,0,1
40,город,1,1,д,2,0,1
41,число,1,0,л,1,0,1
42,месяц,1,1,ц,2,0,1
43,место,1,0,т,1,0,1
44,медпункт,1,1,т,2,0,1
45,диван,1,1,н,2,0,1
46,масло,1,0,л,1,0,1
47,масло,1,0,л,1,0,1
48,город,1,1,д,2,0,1
49,дом,1,1,м,1,1,1
50,совхоз,1,1,з,2,0,1
51,прилавок,1,1,к,3,0,1
52,коник,1,1,к,2,0,1
53,магазин,1,1,н,3,0,1
54,выезд,1,1,д,2,0,1
55,лагер,1,1,р,2,0,1
56,стол,1,1,л,1,0,1
57,совхоз,1,1,з,2,0,1
58,колхоз,1,1,з,2,0,1
59,выщеник,1,1,к,3,0,1
60,выщеник,1,1,к,3,0,1
61,бугор,1,1,р,2,0,1
62,стенд,1,1,д,1,0,1
63,село,1,0,л,1,0,1
64,село,1,0,л,1,0,1
65,село,1,0,л,1,0,1
66,помин,1,1,н,2,0,1
67,возраст,1,1,т,2,0,1
68,дом,1,1,м,1,1,1
69,дом,1,1,м,1,1,1
70,дом,1,1,м,1,1,1
71,численник,1,1,к,3,0,1
72,село,1,0,л,1,0,1
73,двор,1,1,р,1,0,1
74,дело,1,0,л,1,0,1
75,село,1,0,л,1,0,1
76,село,1,0,л,1,0,1
77,бугор,1,1,р,2,0,1
78,дом,1,1,м,1,1,1
79,совхоз,1,1,з,2,0,1
80,совхоз,1,1,з,2,0,1
81,поле,1,0,л',1,0,0
82,место,1,0,т,1,0,1
83,архив,1,1,в,2,0,1
84,село,1,0,л,1,0,1
85,елец,1,1,ц,2,0,1
86,огород,1,1,д,3,0,1
87,корыто,1,0,т,2,0,1
88,совхоз,1,1,з,2,0,1
89,совхоз,1,1,з,2,0,1
90,колхоз,1,1,з,2,0,1
91,звено,1,0,н,1,0,1
92,звено,1,0,н,1,0,1
93,колхоз,1,1,з,2,0,1
94,пуд,1,1,д,1,1,1
95,пуд,1,1,д,1,1,1
96,центнер,1,1,р,2,0,1
97,огород,1,1,д,3,0,1
98,огород,1,1,д,3,0,1
99,огород,1,1,д,3,0,1
100,поле,1,0,л',1,0,0
101,поле,1,0,л',1,0,0
102,выгон,1,1,н,2,0,1
103,гитанчик,1,1,к,3,0,1
104,парник,1,1,к,2,0,1
105,магазин,1,1,н,3,0,1
106,завод,1,1,д,2,0,1
107,бугор,1,1,р,2,0,1
108,бугор,1,1,р,2,0,1
109,бугор,1,1,р,2,0,1
110,бугор,1,1,р,2,0,1
111,месяц,1,1,ц,2,0,1
112,медпункт,1,1,т,2,0,1
113,телефон,1,1,н,3,0,1
114,поле,1,0,л',1,0,0
115,поле,1,0,л',1,0,0
116,детство,1,0,в,1,0,1
117,город,1,1,д,2,0,1
118,трактор,1,1,р,2,0,1
119,порожек,1,1,к,3,0,1
120,райком,1,1,м,2,0,1
121,бугор,1,1,р,2,0,1
122,трактор,1,1,р,2,0,1
123,мечек,1,1,к,1,0,1
124,транспорт,1,1,т,2,0,1
125,автобус,1,1,с,3,0,1
126,июнь,1,1,н',2,0,0
127,кран,1,1,н,1,0,1
128,вербилово,1,0,в,3,0,1
129,сентябрь,1,1,р',2,0,0
130,диван,1,1,н,2,0,1
131,дом,1,1,м,1,1,1
132,двор,1,1,р,1,0,1
133,елец,1,1,ц,2,0,1
134,город,1,1,д,2,0,1
135,село,1,0,л,1,0,1
136,базар,1,1,р,2,0,1
137,стул,1,1,л,1,0,1
138,мешок,1,1,к,2,0,1
139,асфальт,1,1,т,2,0,1
140,поле,1,0,л',1,0,0
141,поле,1,0,л',1,0,0
142,порядок,1,1,к,3,0,1
143,выгон,1,1,н,2,0,1
144,диван,1,1,н,2,0,1
145,наряд,1,1,д,2,0,1
146,конец,1,1,ц,2,0,1
