,lema,0e_num,0y_num,perc,animacy,gender,finale,n_syll,soft0
0,дом,22.0,2.0,0.08333333333333333,1,1,м,1,1
2,город,16.0,0.0,0.0,1,1,д,2,1
3,огород,16.0,0.0,0.0,1,1,д,3,1
4,совхоз,15.0,0.0,0.0,1,1,з,2,1
5,село,13.0,0.0,0.0,1,0,л,1,1
6,магазин,11.0,0.0,0.0,1,1,н,3,1
7,поле,11.0,0.0,0.0,1,0,л',1,0
8,двор,10.0,0.0,0.0,1,1,р,1,1
9,колхоз,9.0,0.0,0.0,1,1,з,2,1
10,конь,8.0,0.0,0.0,1,1,н',1,0
11,класс,8.0,0.0,0.0,1,1,с,1,1
12,август,8.0,0.0,0.0,1,1,т,2,1
13,место,7.0,0.0,0.0,1,0,т,1,1
14,бугор,7.0,0.0,0.0,1,1,р,2,1
15,клуб,6.0,0.0,0.0,1,1,б,1,1
16,совет,4.0,0.0,0.0,1,1,т,2,1
17,сентябрь,4.0,0.0,0.0,1,1,р',2,0
18,мечек,4.0,0.0,0.0,1,1,к,1,1
19,конец,4.0,0.0,0.0,1,1,ц,2,1
20,порог,4.0,0.0,0.0,1,1,г,2,1
21,погреб,4.0,0.0,0.0,1,1,б,2,1
22,диван,4.0,0.0,0.0,1,1,н,2,1
23,автобус,4.0,0.0,0.0,1,1,с,3,1
24,район,4.0,0.0,0.0,1,1,н,2,1
25,базар,3.0,0.0,0.0,1,1,р,2,1
26,техникум,3.0,0.0,0.0,1,1,м,3,1
27,пруд,3.0,0.0,0.0,1,1,д,1,1
28,потолок,3.0,0.0,0.0,1,1,к,3,1
29,февраль,3.0,0.0,0.0,1,1,л',2,0
30,завод,3.0,0.0,0.0,1,1,д,2,1
31,амбар,3.0,0.0,0.0,1,1,р,2,1
32,елец,3.0,0.0,0.0,1,1,ц,2,1
33,смысл,3.0,0.0,0.0,1,1,л,1,1
34,ведро,3.0,0.0,0.0,1,0,р,1,1
35,вербилово,3.0,0.0,0.0,1,0,в,3,1
36,курс,3.0,0.0,0.0,1,1,с,1,1
37,стол,3.0,0.0,0.0,1,1,л,1,1
38,этаж,2.0,0.0,0.0,1,1,ж,2,1
39,месяц,2.0,0.0,0.0,1,1,ц,2,1
40,огонь,2.0,0.0,0.0,1,1,н',2,0
41,медпункт,2.0,0.0,0.0,1,1,т,2,1
42,масло,2.0,0.0,0.0,1,0,л,1,1
43,трактор,2.0,0.0,0.0,1,1,р,2,1
44,пуд,2.0,0.0,0.0,1,1,д,1,1
45,число,2.0,0.0,0.0,1,0,л,1,1
46,транспортёр,2.0,0.0,0.0,1,1,р,3,1
47,порядок,2.0,0.0,0.0,1,1,к,3,1
48,решето,2.0,0.0,0.0,1,0,т,2,1
49,рынок,2.0,0.0,0.0,1,1,к,2,1
50,март,2.0,0.0,0.0,1,1,т,1,1
