,counter,lema
0,0,дом
2,0,город
3,0,огород
4,0,совхоз
5,0,село
6,0,магазин
7,0,поле
8,0,двор
9,0,колхоз
10,0,конь
11,0,класс
12,0,август
13,0,место
14,0,бугор
15,0,клуб
16,0,совет
17,0,сентябрь
18,0,мечек
19,0,конец
20,0,порог
21,0,погреб
22,0,диван
23,0,автобус
24,0,район
25,0,базар
26,0,техникум
27,0,пруд
28,0,потолок
29,0,февраль
30,0,завод
31,0,амбар
32,0,елец
33,0,смысл
34,0,ведро
35,0,вербилово
36,0,курс
37,0,стол
38,0,этаж
39,0,месяц
40,0,огонь
41,0,медпункт
42,0,масло
43,0,трактор
44,0,пуд
45,0,число
46,0,транспортёр
47,0,порядок
48,0,решето
49,0,рынок
50,0,март
51,0,транспонтёр
52,0,солнышко
53,0,сон
54,0,стул
55,0,сундук
56,0,север
57,0,навоз
58,0,зал
59,0,институт
60,0,выщеник
61,0,киоск
62,0,выгон
63,0,июнь
64,0,бревно
65,0,колодезь
66,0,асфальт
67,0,звено
68,0,лагер
69,0,корыто
70,0,детство
71,0,склад
72,0,сит
73,0,декабрь
74,0,данциг
75,0,госбанк
76,0,дело
77,0,гитанчик
78,0,станок
79,0,вышник
80,0,стекло
81,0,архив
82,0,аккордеон
83,0,шифоньер
84,0,чёлнок
85,0,апрель
86,0,численник
87,0,центнер
88,0,транспорт
89,0,стенд
90,0,водоворот
91,0,возраст
92,0,телефон
93,0,выезд
94,0,столик
95,0,сарафанчик
96,0,домик
97,0,липец
98,0,забор
99,1,отпуск
101,0,крыльцо
102,0,кран
103,0,мешок
104,0,мир
105,0,коровник
106,0,наряд
107,0,начало
108,0,ноябрь
109,0,коник
110,0,комитет
111,0,оклад
112,0,окно
113,0,октябрь
114,0,палец
115,0,ручей
116,0,палисадник
117,0,парник
118,0,перёд
119,0,комбайн
120,0,помин
121,0,кладбище
122,0,порожек
123,0,пригород
124,0,прилавок
125,0,июль
126,0,пузырёк
127,0,райком
128,0,рубеж
129,0,язык
130,0,год
131,14.0,берег
132,0,низ
133,0,пол
134,0,лес
135,0,шест
136,0,нос
137,3.0,угол
138,3.0,котёл
139,0,сад
140,0,бок
141,0,пень
142,0,час
143,0,столб
144,0,рот
145,0,лёд
146,0,лог
147,0,вал
148,1,ноготь
149,0,гуж
150,0,бой
151,1,ветер
152,0,круг
153,0,снег
154,0,квас
155,0,дым
156,1,хрестец
157,0,цеп
158,0,горб
