Column1;counter;lema;accent
0;0;колхоз;
1;0;дом;
3;0;детство;
4;0;поле;
5;0;кладбище;
6;0;сарай;
7;0;место;
8;0;город;
9;0;район;
10;0;конь;
11;0;магазин;
12;0;двор;
14;0;огород;
15;0;конец;
16;0;случай;
17;0;стол;
18;0;трактор;
19;0;сон;
20;0;март;
21;0;клуб;
22;0;дело;
23;0;подол;
24;0;техникум;
25;0;завод;
26;0;месяц;
27;0;июнь;
28;0;автобус;
29;0;порог;
30;0;зал;
31;0;округ;
32;0;банк;
34;0;мираторг;
35;0;базар;
36;0;возраст;
37;0;декабрь;
38;0;сельсовет;
39;0;фронт;
40;0;ресторан;
41;0;обиход;
42;0;масло;
43;0;царь;
44;0;село;
45;0;курс;
46;0;загон;
47;0;горох;
48;0;перекрёсток;
49;0;озеро;
50;0;апрель;
51;0;колено;
52;0;коридор;
53;0;колодец;
54;0;кут;
56;0;крыльцо;
57;0;разговор;
58;0;север;
59;0;бурьян;
60;0;стадо;
61;0;стойло;
62;0;погреб;
63;0;центр;
64;0;вход;
65;0;въезд;
66;0;февраль;
67;0;чугун;
68;5.0;посёлок;a
70;1;гребень;a
72;0;уровень;
73;0;рот;
75;0;платок;
76;0;шанталово;
77;0;предел;
78;0;дизель;
79;0;тест;
80;0;жито;
81;0;число;
82;0;зеркало;
83;0;июль;
84;0;капот;
85;0;начало;
86;0;райком;
87;0;август;
88;0;пупок;
89;0;проход;
90;0;принцип;
91;1;потолок;b
93;0;посель;
94;0;порядок;
95;0;производство;
96;0;союз;
97;0;рассол;
98;3.0;угол;b
100;0;яичко;
101;0;шок;
102;0;чердак;
103;0;хозяйство;
104;0;характер;
105;0;фат;
106;0;ум;
107;0;удар;
108;0;уголок;
109;0;телефон;
110;0;рейс;
111;0;телевизор;
112;0;табун;
113;0;суп;
114;0;строительство;
115;0;смысл;
116;0;слонец;
117;0;сеновал;
118;0;сапог;
119;0;самолёт;
120;0;полеводство;
121;0;мотоцикл;
122;0;покой;
123;0;поезд;
124;0;каравай;
125;0;календарь;
126;0;кабинет;
127;0;интернет;
128;0;запас;
129;0;закон;
130;0;жавинк;
131;0;дух;
132;0;диспансер;
133;0;диван;
134;0;дерево;
135;0;день;
136;0;декрет;
137;0;гумно;
138;0;госпиталь;
139;0;горло;
140;0;горлач;
141;1;горлач;b
142;0;горлак;
143;0;водопой;
144;0;вид;
146;1;взгорок;a
148;0;веник;
149;0;велосипед;
150;0;бензин;
151;0;баян;
152;0;балкон;
153;0;асфальт;
154;0;карман;
155;0;квадратик;
156;0;класс;
157;0;наряд;
158;0;повод;
159;0;плечо;
160;0;платьице;
161;0;платочек;
162;0;палец;
163;0;отдых;
164;0;октябрь;
165;0;окно;
166;0;огонёчек;
167;0;огонь;
168;0;обед;
169;0;ноябрь;
170;0;музей;
171;0;колесо;
172;0;мотор;
173;0;море;
174;0;мироторг;
175;2.0;мешок;b
177;0;лоб;
178;0;лесничество;
179;0;кузов;
180;0;кубль;
181;0;крылечко;
182;0;круг;
184;0;корзово;
185;0;концлагерь;
186;0;январь;
187;0;год;
188;0;лес;
189;0;край;
190;0;бок;
191;0;мост;
192;0;ход;
193;0;сад;
194;0;ров;
195;0;гроб;
196;3.0;бычок;b
197;0;пол;
198;2.0;сундук;b
199;0;шкаф;
200;2.0;бугор;b
201;0;канаршино;
202;0;бой;
203;1;большак;b
204;0;хлев;
205;0;танк;
206;0;бык;
207;0;столб;
208;1;станок;b
209;1;собняк;b
210;1;свинарник;a
211;0;верх;
212;0;кабан;
213;1;полушубок;a
214;1;полик;a
215;0;плуг;
216;0;плен;
217;0;плав;
218;1;особняк;b
219;1;берег;c
220;1;малинник;a
221;0;куст;
222;1;язык;b
