Column1;counter;lema;accent
0;0;магазин;
1;0;двор;
2;0;поле;
3;0;колхоз;
4;0;город;
5;0;место;
6;0;озеро;
7;0;мотор;
8;0;участок;
9;0;июль;
10;0;обед;
11;0;самосвал;
12;0;кладбище;
13;0;дом;
15;0;июнь;
16;0;чердак;
17;0;брюхо;
18;0;волост;
19;0;трактор;
20;0;государство;
21;0;совхоз;
22;0;плечо;
23;0;море;
24;0;ламлево;
25;0;коромысло;
26;0;коридор;
27;0;буксир;
28;0;октябрь;
29;0;живот;
30;0;дровник;
31;0;туес;
32;0;ушат;
33;0;пароход;
34;0;этаж;
35;0;судно;
36;0;подвал;
37;0;шифоньер;
38;0;томат;
39;0;позвоночник;
40;0;стол;
41;0;сентябрь;
42;0;приход;
43;0;прицеп;
44;0;рейс;
45;0;сплав;
46;0;рот;
47;0;сундук;
48;0;союз;
49;0;сон;
50;0;самолёт;
51;0;август;
52;0;огородец;
53;0;исход;
54;0;барабан;
55;0;батог;
56;0;белорус;
57;0;болото;
58;0;ведро;
59;0;велосипед;
60;0;весло;
61;0;горшок;
62;0;декрет;
63;0;дно;
64;0;дёр;
65;0;исток;
66;0;карман;
67;0;огород;
68;0;койнас;
69;0;колесо;
70;0;комбайн;
71;0;конец;
72;0;конь;
73;0;корыто;
74;0;кузов;
75;0;кустик;
76;0;автобус;
77;0;матрас;
78;0;мотоцикл;
79;0;наволок;
80;0;январь;
81;0;лес;
82;0;год;
83;4.0;отпуск;c
84;3.0;угол;b
85;0;бок;
86;0;мост;
87;0;пол;
88;1;аэропорт;a
89;1;берег;c
90;0;верх;
91;1;месяц;a
92;0;низ;
93;0;сад;
