,word,lema,animacy,gender,finale,n_syll,preposition,context,accent
0,доме,дом,inan,masc,м,1,в,"А на этой на Данку Маня Лёгина померла , она на Еленском в престарелом доме была",c
1,кладбище,кладбище,inan,neut,щ',2,на,"Ну , Николаевна думала здесь похоронить на нашем кладбище , а зачем же . . . так , как Полина Ивановна мне рассказывала",-
2,магазине,магазин,inan,masc,н,3,в,Оно ж у меня бесплатное . Я работаю в магазине,-
3,молокозаводе,молокозавод,inan,masc,д,5,на,"Тут я . . . Эта на молокозаводе работает , а наша работала в магазине , торговала",-
4,магазине,магазин,inan,masc,н,3,в,"Тут я . . . Эта на молокозаводе работает , а наша работала в магазине , торговала",-
5,магазине,магазин,inan,masc,н,3,в,"О , технический , у нас много ослепло , его продавали в магазине",-
6,ноябре,ноябрь,inan,masc,р',2,в,"Как они разошлись еще в ноябре месяце . Нет , ноябрь он полностью ездил . Да буде с сентября",-
7,месяце,месяц,inan,masc,ц,2,в,"Как они разошлись еще в ноябре месяце . Нет , ноябрь он полностью ездил . Да буде с сентября",-
8,огороде,огород,inan,masc,д,3,в,"Деловая ! У нее в огороде , у нее около дому , у нее окурка нету . Она сидит , вот приедет , то Иришку привезет . .",-
9,виде,вид,inan,masc,д,1,в,"Да - да - да , ну , в виде мусора его вот это",-
10,поле,поле,inan,neut,л',1,на,"Ну , что - то зеленеет на поле , о , что там зеленеет",-
11,поле,поле,inan,neut,л',1,на,"На поле там обычно , или там зелень посеяли . О , зелень как зеленеет",-
12,детстве,детство,inan,neut,в,1,в,"Я тоже говорю , так - то во , в детстве , мне , говорю , что доставалось ? Картоху сажали девятками",-
13,посёлке,посёлок,inan,masc,к,3,на,"И бомба взорвалася , и его убило . Мы жили на посёлке , посёлок наш была Лихое Болото",-
14,колодце,колодец,inan,masc,ц,3,в,"А отец наш дал команду , мой , посадить в колодце , хотели его , что - нибудь с ним сделать",-
15,колодце,колодец,inan,masc,ц,3,в,"В колодце , и он же так и оставился , немцы не облили , не сожгли , ничем его не испакостили",-
16,посёлке,посёлок,inan,masc,к,3,на,"А вот как его дальше вот звали , знаю , что фамилия Комков . Знаю , что он у нас на посёлке даже был",-
17,посёлке,посёлок,inan,masc,к,3,на,И отец наш всё нам рассказывал как . . . отец его записался на посёлке жить . С Пеневич же выезжали,-
18,мешочке,мешочек,inan,masc,к,3,в,"Картоху , картоху носила в сумочке так - то , в мешочке на плечах , как это . .",-
19,колодезе,колодезь,inan,masc,з',3,на,"Чуете ? А меня гроза била . Черпаю воду , туча была , большая - большая , а я черпаю у себя воду на колодезе",-
20,стаде,стадо,inan,neut,д,1,в,"Весной - то , ещё в стаде не ходили , зелень - то оттаяла так - то",-
21,колхозе,колхоз,inan,masc,з,2,в,"Не , и в колхозе дураки были . Райку - то Марчёнкову ты не знаешь",-
22,покосе,покос,inan,masc,с,2,на,"А я помню , у нас - мы тоже дураки , у нас музоли - оо ! к на покосе нас гонял - то уже всех",-
23,сельсовете,сельсовет,inan,masc,т,3,в,В сельсовете будут собирать угол,-
24,посёлке,посёлок,inan,masc,к,3,на,"А у нас вот на посёлке было , как летом , мы вот у нас , был мой вот дядя Денис , он жил на посёлке , посёлком",-
25,посёлке,посёлок,inan,masc,к,3,на,"А у нас вот на посёлке было , как летом , мы вот у нас , был мой вот дядя Денис , он жил на посёлке , посёлком",-
26,кресте,крест,inan,masc,т,1,на,"Ух , она и на моги . . . она и в Пеневичах , ее найдете , она в повойнику на могилке , на кресте",-
27,кладбище,кладбище,inan,neut,щ',2,во,"Не видели ? В Пеневичах , да , в этой стороне во будет , вот кладбище вот туда зайдете , если будете , в этой стороне будет ей могилка",-
28,повойнике,повойник,inan,masc,к,3,в,"И так - то ее прямо в повойнике похоронили , что ли",-
29,кресте,крест,inan,masc,т,1,на,"Нет , только у нее вот на кресте , табличка , табличка . И она стоит , ее лик в повойнике , она",-
30,повойнике,повойник,inan,masc,к,3,в,"Нет , только у нее вот на кресте , табличка , табличка . И она стоит , ее лик в повойнике , она",-
31,посёлке,посёлок,inan,masc,к,3,на,"И она , значит , уехала , и однажды она приехала , еще на посёлке я жила",-
32,мотоцикле,мотоцикл,inan,masc,л,3,на,"А потом , у них были машины - не , были на мотоцикле",-
33,доме,дом,inan,masc,м,1,в,"Это теперь , культура замучила , а тогда бабки зимою соберутся в одном доме штук пять - шесть и просидят до вечера",c
34,кладбище,кладбище,inan,neut,щ',2,на,"Жила она у брата в Ермолине , там ее похоронил . А всё просилась на своё кладбище в Нехочи",-
35,кладбище,кладбище,inan,neut,щ',2,на,"Каждый праздничек , и на кладбище , каждый праздничек - и на кладбище",-
36,кладбище,кладбище,inan,neut,щ',2,на,"Каждый праздничек , и на кладбище , каждый праздничек - и на кладбище",-
37,кладбище,кладбище,inan,neut,щ',2,на,"Рядом они там не взяли не с нею , на другом кладбище , но всё равно они не забывают ее , на кладбище они ходят к ней . И я и то на кладбище бываю . Поедем . .",-
38,кладбище,кладбище,inan,neut,щ',2,на,"Рядом они там не взяли не с нею , на другом кладбище , но всё равно они не забывают ее , на кладбище они ходят к ней . И я и то на кладбище бываю . Поедем . .",-
39,кладбище,кладбище,inan,neut,щ',2,на,"Рядом они там не взяли не с нею , на другом кладбище , но всё равно они не забывают ее , на кладбище они ходят к ней . И я и то на кладбище бываю . Поедем . .",-
40,кладбище,кладбище,inan,neut,щ',2,на,"На Паску . На самую праздник у нас большой , и мы ходим на кладбище , да",-
41,кладбище,кладбище,inan,neut,щ',2,на,"Это уже на вторую , на второй неделе , во вторник , от Паски , ходим на кладбище",-
42,замке,замок,inan,masc,к,2,на,"Вчера , мам , были , тебя нету , хата на замке была , говорит . - А сколько ? - Восемь",-
43,дежурстве,дежурство,inan,neut,в,2,на,"А он уже , дежурит , может , на дежурстве , да",-
44,хоре,хор,inan,masc,р,1,в,"Она , она ж тут в хоре - то песни глянь какие поет",c
45,мешке,мешок,inan,masc,к,2,на,А эта в маленький мешок принеси - триста рублей на мешке,-
46,полотенчике,полотенчико,inan,neut,к,4,на,Хлебом - солью стревают везде . На полотенчике,-
47,рушнике,рушник,inan,masc,к,2,на,На рушнике,-
48,городе,город,inan,masc,д,2,в,"Танечка , говорю , не в деревне , в городе теперь . Так - то во , с нею мы встанем , постоим , как сама",-
49,детстве,детство,inan,neut,в,1,в,"Ему , может , сейчас после ещё операции если были , ему и было и в детстве ему операций было очень много",-
50,тракторе,трактор,inan,masc,р,2,на,"Ну он трудяга тоже . А по первости на тракторе работал . Митя этот , так он это . .",-
51,сне,сон,inan,masc,н,1,во,"Как спала , как во сне , просыпаюсь с этим словом , что тебе надо поговеть",-
52,прицепе,прицеп,inan,masc,п,2,на,"Домой иду , соседка встречает : Ну что , Натах , дочечка , Ивана поглядела ? Я говорю : - Его нету дома , он на стану . Я по - своему отвечаю . - Как ? Они в ночь пахали , Володя мой дома . А Володя на прицепе у него работал . Ну теперь я не пойду , пойду я домой",-
53,колхозе,колхоз,inan,masc,з,2,в,"А после войны очень тяжело было , очень тяжело . Потому в колхозе ничего не платили , работы никакой нет , что он ? Он ночным конюхом . Я вот так вам говорила , что он конюхом отец работал . Ночным , он стерёг ночью их , караулил . Вот , а что там ему дадут , ну двенадцать килограмм , всё",-
54,конце,конец,inan,masc,ц,2,в,"Только Миша восьмого . . этого , после Октябрьской восьмого родился , а тот в конце месяца , в общем , в одном году , Толик . И вот такие дела , так у нас",-
55,колхозе,колхоз,inan,masc,з,2,в,"Всё , самая маленькая вот Райка , потом Райка умирает , Нюра уже умирает это отец уже никуда не ездил , просто тут , в колхозе стал работать",-
56,чердаке,чердак,inan,masc,к,2,на,"Вот , а тогда гляжу , мать закричала , а тут соседи , Карпиком его зовут , она хотела прямо с чердака с этого , спали тепло , на этом вот на чердаке называется , не в хате , и она хотела , взяла ее на охапку , и хотела она прямо прыгать , с ней , с девкой , с Нюрой",-
57,тракторе,трактор,inan,masc,р,2,на,"И вот они поехали , поехали на тракторе , трактор колёсник , не Белорус , никто , а колёсник назывался , вот . И уже они ехали с Клетна . Ехали , наехали на мину",-
58,колхозе,колхоз,inan,masc,з,2,в,"Жить опять . Ну дали , в колхозе дали эту , на новостройке дали ему хату , на Молодёжке называется тоже . Дали , работал , работал , что за что , посадили , посадили , что - то украли в колхозе . Посадили . Дали год , год отсидел",-
59,колхозе,колхоз,inan,masc,з,2,в,"Жить опять . Ну дали , в колхозе дали эту , на новостройке дали ему хату , на Молодёжке называется тоже . Дали , работал , работал , что за что , посадили , посадили , что - то украли в колхозе . Посадили . Дали год , год отсидел",-
60,колхозе,колхоз,inan,masc,з,2,в,"Баб , ты не жалей , ты клади , ты клади ! Ты не жалей , нам еще дадут . Нам еще теленка , раз они ж рубят в колхозе тут",-
61,колхозе,колхоз,inan,masc,з,2,в,"Экзамены сдавать , даже его исключили . А вот он еще , ему еще экзамены не сдавать , его , потом его исключили , со школы со Смоленску , он приехал , устроился тут кузнецом в этой , в колхозе в кузню",-
62,колхозе,колхоз,inan,masc,з,2,в,"Ну все , тут опять : уеду , уеду в Калугу , не буду тут жить . Уехал , уехал , рассчитался в колхозе , уехал . Уехал , там нашел себе Зою , первую в Калуге",-
63,Турбинке,турбинк,anim,masc,к,2,на,"Ну , раз они с Зоей , они что ж . . сын приехал , Зою схоронили , сын приехал , квартиру - то закрыл , они не расписаны . Но ему дали комнату на Турбинке на этой , дали ему комнату , живет . Живет , тут стала Галя ходить . Галя эта стала ходить , стала ему есть носить",-
64,Турбинке,турбинк,anim,masc,к,2,на,"Туда . Ну туда ладно . Бери . На машине вот он приедет , с этой тоже и сын этой , он работал дальнобойщиком . Ну я так называю , дальнобойщиком , он не то что . . . так машина на Турбинке , он работал , только он ездил в дальние рельсы",-
65,госпитале,госпиталь,inan,masc,л',3,в,"Она работала в госпитале , она всех этих , всех врачей , всё это знает , всё она там . Я , говорит , в военном госпитале работала . Вот она уже как что , в этот институт она его отправлят лечиться",-
66,госпитале,госпиталь,inan,masc,л',3,в,"Она работала в госпитале , она всех этих , всех врачей , всё это знает , всё она там . Я , говорит , в военном госпитале работала . Вот она уже как что , в этот институт она его отправлят лечиться",-
67,декабре,декабрь,inan,masc,р',2,в,В декабре,-
68,декабре,декабрь,inan,masc,р',2,в,"В декабре берут отпуск , и два его брата , и мой сын . И едут туда . Делать коридор . Подъедут",-
69,доме,дом,inan,masc,м,1,в,"И в доме тоже , теперь будет , делают в месяц или два , что будет , откачивают",c
70,колхозе,колхоз,inan,masc,з,2,в,"Эти , он работал сам в колхозе , она работала тоже в колхозе , она работала дояркой",-
71,колхозе,колхоз,inan,masc,з,2,в,"Эти , он работал сам в колхозе , она работала тоже в колхозе , она работала дояркой",-
72,тракторе,трактор,inan,masc,р,2,на,Он работал на тракторе,-
73,автобусе,автобус,inan,masc,с,3,в,"Поездила , люди спят в автобусе , а я не могу . Пришла - Коль не давай мне хоть либо работать боле не пойду",-
74,автобусе,автобус,inan,masc,с,3,на,Не могу я на этом автобусе ездить больше,-
75,коридоре,коридор,inan,masc,р,3,в,"Дай хоть я в этом в коридоре пойду уберусь , туда - сюда , тут же эту страсть надо вот так где",-
76,декабре,декабрь,inan,masc,р',2,в,"Если она рано окотилась вот , в там , в декабре там , туда - сюда",-
77,коридоре,коридор,inan,masc,р,3,в,"У меня где - то тоже есть , висят , нет , тут нету , в коридоре нету , а где - то буде там в гараже если",-
