,word,lema,animacy,gender,finale,n_syll,preposition,context,accent
0,весу,вес,inan,masc,с,1,на,"Так , на весу не ( нрзб ?",c
1,лесу,лес,inan,masc,с,1,в,В лесу . На обочину,cc
2,лесу,лес,inan,masc,с,1,в,"А страшно , в лесу да , в лесу , как говорит , идешь как на войну",cc
3,лесу,лес,inan,masc,с,1,в,"А страшно , в лесу да , в лесу , как говорит , идешь как на войну",cc
4,тылу,тыл,inan,masc,л,1,в,"Он был здесь в тылу , помогал",c
5,году,год,inan,masc,д,1,на,А я тоже потом . . . на шестом году сиротой осталась . .,ec
6,плену,плен,inan,masc,н,1,в,"Тот на войне погиб , а эти в плену были трое , пришли . Один с войны пришёл , раненый , другой тоже , с лёгкими пришёл - еле живые были",-
7,краю,край,inan,masc,й,1,на,А мужики были на краю . И меня вытащили прямо за сумку . .,ccc
8,повойнику,повойник,inan,masc,к,3,в,"Ух , она и на моги . . . она и в Пеневичах , ее найдете , она в повойнику на могилке , на кресте",-
9,Паску,паск,inan,masc,к,1,на,"На Паску . На самую праздник у нас большой , и мы ходим на кладбище , да",-
10,Говеену,говеен,inan,masc,н,3,в,Великий пост . Это называется в Говеену . Это великий самый пост,-
11,Говеену,говеен,inan,masc,н,3,в,"Самый строгий . Пост , это в Говеену бывает",-
12,году,год,inan,masc,д,1,в,"Ну она как много раз ткала , а я - то в сорок третьем году , тут уже и ткать так - то бросили",ec
13,котелку,котелок,inan,masc,к,3,в,"Ну , правда , с самой с этой , как он пришел с войны , и он побыл у нас день , неделю отец не пожил с нами , есть нечего , там , может , пять картох мать сварила , прямо что он котелочек принес этот , он котелок свой этот военный принес , и мать в этом котелку сварила картошку",-
14,году,год,inan,masc,д,1,в,"Только Миша восьмого . . этого , после Октябрьской восьмого родился , а тот в конце месяца , в общем , в одном году , Толик . И вот такие дела , так у нас",ec
15,Богу,бог,anim,masc,г,1,во,"Потом , правда , пришел племянник Коля , опосле , опять мне это вспоминает . Я говорю , знаешь , Коля , первый раз , последний , чтоб твоя нога не была в моей хате . И до сих пор теперь все не ходит , во и слава Богу , я буду спать спокойно",-
16,году,год,inan,masc,д,1,на,"Да , она умерла боле восемьдесят , на девятом году , на девятом десятке . Вот",ec
17,полу,пол,inan,masc,л,1,на,"Ну , между прочим , она годится , годилась , она вот туда - сюда кто приехал , понаехал , на полу кину ее , нате , есть , а подушки есть",ce
18,стаду,стадо,inan,neut,д,1,в,"Ну , теперь я завтра , говорю , к вам приду , в стаду ж я ж не пойду , его ж не поймаешь , не пускайте , я говорю , ради Бога , я завтра прибегу . Подхватываюсь - пошла",-
19,ходу,ход,inan,masc,д,1,на,"Овечек этих загнали , на ход , на двор не стали загонять , на ходу загнала , прихожу , а там двойнятки бегают , ягнятки еще - окотилась",cccec
20,закуту,закут,inan,masc,т,2,в,"Есть , мы , говорю , загнали в закуту , а были тут , говорю , прямо на ходу """,-
21,ходу,ход,inan,masc,д,1,на,"Есть , мы , говорю , загнали в закуту , а были тут , говорю , прямо на ходу """,cccec
22,телку,телок,anim,masc,к,2,на,"Это , я тут на ферме обменяю свою телку , возьму тогда теленую , я подойду к этому , к зоотехнику , а вы заберите мою корову",-
23,листу,лист,inan,masc,т,1,на,"Корова наша лежит , на листу привез покойный",d
24,долгу,долг,inan,masc,г,1,в,""" Клав , миленькая , в ноги буду кланяться , Клав , напиши ты мне ради Бога , мне срочно надо в Госстрах , чтобы мне получить . Я ж из Хвастович , ты понимаешь , за кого я ходила получать , ты не поверишь даже , только большая история рассказывать . Ради Бога пиши , ну пиши , я в долгу не останусь !",cc
25,снегу,снег,inan,masc,г,1,на,"И вот которая нога на снегу была , и вот они эти пальцы обморозились , а на которую вот наклал , эта . .",c
26,полу,пол,inan,masc,л,1,на,"Нет , это стоят уже он так , на полу будет , тогда полы эти были , на полу вот он стоит",ce
27,полу,пол,inan,masc,л,1,на,"Нет , это стоят уже он так , на полу будет , тогда полы эти были , на полу вот он стоит",ce
28,бою,бой,inan,masc,й,1,на,"Мне тут , у нее все - таки загорожено , она светится , как - то видит , кто идет , а у меня тут на самом на бою , чёрт знает , кто тут идет , правильно или нет",c
29,саду,сад,inan,masc,д,1,в,В каком саду,c
30,ходу,ход,inan,masc,д,1,на,"О , это хорошо ! Выехали в час , чтоб меньше было этой , машина большая , чтоб меньше было этих , на ходу машин не было . Они ж выехали поздно",cccec
31,дому,дом,inan,masc,м,1,в,В том дому,c
32,дому,дом,inan,masc,м,1,в,"Они это спросили у меня : там Дарья , Марья , где она живет ? Вон в том дому . Вон в том дому",c
33,дому,дом,inan,masc,м,1,в,"Они это спросили у меня : там Дарья , Марья , где она живет ? Вон в том дому . Вон в том дому",c
34,дыму,дым,inan,masc,м,1,в,"А копоть это , когда в доме закоптилось , дыму , от дыму всё закопченное . Говорили копоть",c
35,лесу,лес,inan,masc,с,1,в,Ты там голубики в лесу нигде не найдешь,cc
36,лесу,лес,inan,masc,с,1,в,"Травы очень много , хорошей . Ой , это что , мы их не знаем , у нас даже трава есть в лесу - не надо этой вон , от сердца , валерьяновки",cc
37,немцу,немец,anim,masc,ц,2,при,"Сеяли , сеяли зерно . Ну , это как немец уже ушёл . Как немец ушел . При немцу нет . А как немец ушел , сеяли , указывали нам , а где < нрзбр > , а где просо",-
38,углу,угол,inan,masc,л,2,в,"Одного , деточки . . Один , они были деревенские , наши . Ну , одного оправдали . И он вот был и с немцем , и с этими , с партизанами . А одного так и в углу . . умер . Да",-
39,дому,дом,inan,masc,м,1,на,"У , сейчас ничего стало . Тогда был дом на дому , тогда то - то вот дом был , и то - то дом был , и то - то дом , а теперь - там , сям",c
40,посёлку,посёлок,inan,masc,к,3,на,"Мы жили на посёлку , посёлок наш был - Лихое болото , это Пеньевской сельского совета",-
41,тылу,тыл,inan,masc,л,1,в,"Он был здесь , в тылу , помогал . С партизанами большая была связь , его не забирали",c
42,году,год,inan,masc,д,1,на,"И такая была жизнь , это уж потом , на шестом году сиротой осталась , так и пошла , и поехала жизнь вся",ec
43,плену,плен,inan,masc,н,1,в,"И стала это , лежит , и ещё было у нас , у отца моего , Илья был , Денис , три брата было , и Егор . Тот на войне погиб , а это в плену были трое , пришли , один с войны пришел , другой пришел раненый , другой тоже с легкими пришёл , но они живые были",-
44,краю,край,inan,masc,й,1,на,А мужики были на краю . И меня вытащили прямо < нрзбр >,ccc
45,посёлку,посёлок,inan,masc,к,3,на,"У нас вот на посёлку было , как летом , вот , у нас был мой вот дядя , Денис , он жил на поселке",-
46,полотенчику,полотенчико,inan,neut,к,4,на,"Хлебом с солью встревают везде , на полотенчику , и подают хлеб - соль , отец с матерью , свекор со свекровью подают",-
47,году,год,inan,masc,д,1,в,"Ну мать моя , правда , чуточку она оклемалась , но в этом году она всё равно тут она и померла",ec
48,листу,лист,inan,masc,т,1,на,"Потом как - то на листу , вот лист зацепил он и едет на ферму",d
49,покладу,поклад,inan,masc,д,2,в,"Я сама , - говорю , - в свой тамбур покладу , я делить ни с кем не буду",-
50,народу,народ,inan,masc,д,2,при,"Не как - нибудь , что я была последней , я была вообще все время передовой , это даже не хвалюсь , а скажу , при всем народу могу сказать",-
51,бисквиту,бисквит,inan,masc,т,2,во,"Приносит большой такой - то во кусок бисквиту . "" Я сижу , пока не съешь , быстро , мне некогда ! "" И принесла кусков шесть сахару , принесла стакан киселю",-
52,,сквозняк,inan,masc,к,2,в,"Ну и был там какой - то пиджачок , вот чтоб в это , сам  по <сквозняку > , грели воду , носила эта , нянечка как истопщик , дрова",-
53,пальцу,палец,inan,masc,ц,2,в,"И привезли и принесли и говорят : "" Мы в большину пальцу делали "" . Правильно , там , и кровичка . "" Не стали , мы тебя уважили """,-
54,виду,вид,inan,masc,д,1,на,"Вот такие дела были , и взяла бросила , не стала вешать на виду",-
55,часу,час,inan,masc,с,1,в,"Всегда в двенадцатом часу воды наношу , пока еще с вечера",c
56,часу,час,inan,masc,с,1,в,"В двенадцатом часу выносила сушить на улицу , тряпки вешала , ой",c
57,верху,верх,inan,masc,х,1,на,"Клали , сверху начинают , а потом , к верху вершат . Ну у нас , свои если кто , тогда палки на верх клали . На углы , связывали там на верху , и на четыре , и четыре палки клали на них",cc
58,стогу,стог,inan,masc,г,1,на,"Поругались мы с ним . Ругаемся , кладём . Сложили , я Ивановне и говорю : ну , небось думали на меня , что я на стогу ненормальная треплюсь там",c
59,стогу,стог,inan,masc,г,1,на,"На них напали , а мы идём мимо , ну , вы думали небось , что я там ненормальная была на стогу , а теперь и ба . . . В самом деле , говорит , думали",c
60,строю,строй,inan,masc,й,1,в,"В строю это в строю это отдельное , это солдаты стоят в строю , это отдельное слово",c
61,строю,строй,inan,masc,й,1,в,"В строю это в строю это отдельное , это солдаты стоят в строю , это отдельное слово",c
62,строю,строй,inan,masc,й,1,в,"В строю это в строю это отдельное , это солдаты стоят в строю , это отдельное слово",c
63,верху,верх,inan,masc,х,1,в,Прямо в верху там кладется,cc
64,лесу,лес,inan,masc,с,1,в,"Резали , от лесников крали , в лесу нарежут километров за семь , и тащут",cc
65,рыгу,рыг,inan,masc,г,1,в,"Сперва сушить в ригу , туда , в рыгу в эту , посушат , чтобы зерно это вылетало оттуда . И потом ее веют",-
66,вору,вор,anim,masc,р,1,на,"Тогда в закрома , засыпают . А вор был на вору ! И вором погонял , и воровали страшно",-
