,lema,animacy,gender,finale,n_syll,accent,soft0
0,дом,1,1,м,1,1,1
1,кладбище,1,0,щ',2,0,0
2,магазин,1,1,н,3,0,1
3,молокозавод,1,1,д,5,0,1
4,магазин,1,1,н,3,0,1
5,магазин,1,1,н,3,0,1
6,ноябрь,1,1,р',2,0,0
7,месяц,1,1,ц,2,0,1
8,огород,1,1,д,3,0,1
9,вид,1,1,д,1,0,1
10,поле,1,0,л',1,0,0
11,поле,1,0,л',1,0,0
12,детство,1,0,в,1,0,1
13,посёлок,1,1,к,3,0,1
14,колодец,1,1,ц,3,0,1
15,колодец,1,1,ц,3,0,1
16,посёлок,1,1,к,3,0,1
17,посёлок,1,1,к,3,0,1
18,мешочек,1,1,к,3,0,1
19,колодезь,1,1,з',3,0,0
20,стадо,1,0,д,1,0,1
21,колхоз,1,1,з,2,0,1
22,покос,1,1,с,2,0,1
23,сельсовет,1,1,т,3,0,1
24,посёлок,1,1,к,3,0,1
25,посёлок,1,1,к,3,0,1
26,крест,1,1,т,1,0,1
27,повойник,1,1,к,3,0,1
28,крест,1,1,т,1,0,1
29,повойник,1,1,к,3,0,1
30,посёлок,1,1,к,3,0,1
31,мотоцикл,1,1,л,3,0,1
32,дом,1,1,м,1,1,1
33,кладбище,1,0,щ',2,0,0
34,кладбище,1,0,щ',2,0,0
35,замок,1,1,к,2,0,1
36,дежурство,1,0,в,2,0,1
37,хор,1,1,р,1,1,1
38,мешок,1,1,к,2,0,1
39,полотенчико,1,0,к,4,0,1
40,рушник,1,1,к,2,0,1
41,город,1,1,д,2,0,1
42,детство,1,0,в,1,0,1
43,трактор,1,1,р,2,0,1
44,сон,1,1,н,1,0,1
45,прицеп,1,1,п,2,0,1
46,колхоз,1,1,з,2,0,1
47,конец,1,1,ц,2,0,1
48,колхоз,1,1,з,2,0,1
49,чердак,1,1,к,2,0,1
50,трактор,1,1,р,2,0,1
51,колхоз,1,1,з,2,0,1
52,колхоз,1,1,з,2,0,1
53,колхоз,1,1,з,2,0,1
54,колхоз,1,1,з,2,0,1
55,колхоз,1,1,з,2,0,1
56,госпиталь,1,1,л',3,0,0
57,госпиталь,1,1,л',3,0,0
58,декабрь,1,1,р',2,0,0
59,декабрь,1,1,р',2,0,0
60,дом,1,1,м,1,1,1
61,колхоз,1,1,з,2,0,1
62,колхоз,1,1,з,2,0,1
63,трактор,1,1,р,2,0,1
64,автобус,1,1,с,3,0,1
65,автобус,1,1,с,3,0,1
66,коридор,1,1,р,3,0,1
67,декабрь,1,1,р',2,0,0
68,коридор,1,1,р,3,0,1
69,гараж,1,1,ж,2,0,1
70,колхоз,1,1,з,2,0,1
71,поле,1,0,л',1,0,0
72,август,1,1,т,2,0,1
73,август,1,1,т,2,0,1
74,август,1,1,т,2,0,1
75,стадо,1,0,д,1,0,1
76,магазин,1,1,н,3,0,1
77,двор,1,1,р,1,0,1
78,март,1,1,т,1,0,1
79,поле,1,0,л',1,0,0
80,колхоз,1,1,з,2,0,1
81,колхоз,1,1,з,2,0,1
82,журнал,1,1,л,2,0,1
83,дом,1,1,м,1,1,1
84,стадо,1,0,д,1,0,1
85,стадо,1,0,д,1,0,1
86,двор,1,1,р,1,0,1
87,февраль,1,1,л',2,0,0
88,колхоз,1,1,з,2,0,1
89,поле,1,0,л',1,0,0
90,недостаток,1,1,к,4,0,1
91,торф,1,1,ф,1,1,1
92,месяц,1,1,ц,2,0,1
93,месяц,1,1,ц,2,0,1
94,начало,1,0,л,2,0,1
95,октябрь,1,1,р',2,0,0
96,ноябрь,1,1,р',2,0,0
97,двор,1,1,р,1,0,1
98,колхоз,1,1,з,2,0,1
99,колхоз,1,1,з,2,0,1
100,колхоз,1,1,з,2,0,1
101,чугун,1,1,н,2,0,1
102,декабрь,1,1,р',2,0,0
103,дом,1,1,м,1,1,1
104,посёлок,1,1,к,3,0,1
105,место,1,0,т,1,0,1
106,курс,1,1,с,1,0,1
107,почёт,1,1,т,2,0,1
