,lema,animacy,gender,finale,n_syll,accent,soft0
0,вес,1,1,с,1,1,1
1,лес,1,1,с,1,1,1
2,лес,1,1,с,1,1,1
3,лес,1,1,с,1,1,1
4,тыл,1,1,л,1,1,1
5,год,1,1,д,1,1,1
6,плен,1,1,н,1,0,1
7,край,1,1,й,1,1,1
8,повойник,1,1,к,3,0,1
9,год,1,1,д,1,1,1
10,котелок,1,1,к,3,0,1
11,год,1,1,д,1,1,1
12,год,1,1,д,1,1,1
13,пол,1,1,л,1,1,1
14,ход,1,1,д,1,1,1
15,ход,1,1,д,1,1,1
16,лист,1,1,т,1,1,1
17,долг,1,1,г,1,1,1
18,снег,1,1,г,1,1,1
19,пол,1,1,л,1,1,1
20,пол,1,1,л,1,1,1
21,бой,1,1,й,1,1,1
22,сад,1,1,д,1,1,1
23,ход,1,1,д,1,1,1
24,дом,1,1,м,1,1,1
25,дом,1,1,м,1,1,1
26,дом,1,1,м,1,1,1
27,дым,1,1,м,1,1,1
28,лес,1,1,с,1,1,1
29,лес,1,1,с,1,1,1
30,немец,0,1,ц,2,0,1
31,угол,1,1,л,2,0,1
32,дом,1,1,м,1,1,1
33,посёлок,1,1,к,3,0,1
34,тыл,1,1,л,1,1,1
35,год,1,1,д,1,1,1
36,плен,1,1,н,1,0,1
37,край,1,1,й,1,1,1
38,посёлок,1,1,к,3,0,1
39,полотенчико,1,0,к,4,0,1
40,год,1,1,д,1,1,1
41,лист,1,1,т,1,1,1
42,народ,1,1,д,2,0,1
43,вид,1,1,д,1,0,1
44,час,1,1,с,1,1,1
45,час,1,1,с,1,1,1
46,верх,1,1,х,1,1,1
47,стог,1,1,г,1,1,1
48,стог,1,1,г,1,1,1
49,строй,1,1,й,1,1,1
50,строй,1,1,й,1,1,1
51,строй,1,1,й,1,1,1
52,верх,1,1,х,1,1,1
53,лес,1,1,с,1,1,1
54,вор,0,1,р,1,0,1
55,дым,1,1,м,1,1,1
56,дым,1,1,м,1,1,1
57,бок,1,1,к,1,1,1
58,крест,1,1,т,1,0,1
