,lema,0e_num,0y_num,perc,animacy,gender,finale,n_syll,soft0
0,колхоз,21.0,0.0,0.0,1,1,з,2,1
1,посёлок,15.0,2.0,0.11764705882352941,1,1,к,3,1
3,дом,13.0,4.0,0.23529411764705882,1,1,м,1,1
5,кладбище,6.0,0.0,0.0,1,0,щ',2,0
6,повойник,5.0,1.0,0.16666666666666666,1,1,к,3,1
8,стадо,5.0,0.0,0.0,1,0,д,1,1
9,поле,5.0,0.0,0.0,1,0,л',1,0
10,крест,4.0,1.0,0.2,1,1,т,1,1
12,трактор,4.0,0.0,0.0,1,1,р,2,1
13,магазин,4.0,0.0,0.0,1,1,н,3,1
14,двор,4.0,0.0,0.0,1,1,р,1,1
15,декабрь,4.0,0.0,0.0,1,1,р',2,0
16,дерево,4.0,0.0,0.0,1,0,в,2,1
17,месяц,3.0,0.0,0.0,1,1,ц,2,1
18,автобус,3.0,0.0,0.0,1,1,с,3,1
19,август,3.0,0.0,0.0,1,1,т,2,1
20,сбор,3.0,0.0,0.0,1,1,р,1,1
21,стол,3.0,0.0,0.0,1,1,л,1,1
22,коридор,3.0,0.0,0.0,1,1,р,3,1
23,ноябрь,2.0,0.0,0.0,1,1,р',2,0
24,начало,2.0,0.0,0.0,1,0,л,2,1
25,пирог,2.0,0.0,0.0,1,1,г,2,1
26,сельсовет,2.0,0.0,0.0,1,1,т,3,1
27,февраль,2.0,0.0,0.0,1,1,л',2,0
28,мотоцикл,2.0,0.0,0.0,1,1,л,3,1
29,колодец,2.0,0.0,0.0,1,1,ц,3,1
30,колодезь,2.0,0.0,0.0,1,1,з',3,0
31,класс,2.0,0.0,0.0,1,1,с,1,1
32,детство,2.0,0.0,0.0,1,0,в,1,1
33,госпиталь,2.0,0.0,0.0,1,1,л',3,0
34,вид,1.0,1.0,0.5,1,1,д,1,1
36,почёт,1.0,0.0,0.0,1,1,т,2,1
37,прицеп,1.0,0.0,0.0,1,1,п,2,1
38,ребёнок,1.0,0.0,0.0,0,1,к,3,1
39,рушник,1.0,0.0,0.0,1,1,к,2,1
40,рыг,1.0,0.0,0.0,1,1,г,1,1
41,рюкзачок,1.0,0.0,0.0,1,1,к,3,1
42,город,1.0,0.0,0.0,1,1,д,2,1
43,гараж,1.0,0.0,0.0,1,1,ж,2,1
44,сон,1.0,0.0,0.0,1,1,н,1,1
45,вертолёт,1.0,0.0,0.0,1,1, ,3,1
46,стакан,1.0,0.0,0.0,1,1,н,2,1
47,стулец,1.0,0.0,0.0,0,1,ц,2,1
48,тамбур,1.0,0.0,0.0,1,1,р,2,1
49,торф,1.0,0.0,0.0,1,1,ф,1,1
50,ведро,1.0,0.0,0.0,1,0,р,1,1
51,укроп,1.0,0.0,0.0,1,1,п,2,1
52,бревно,1.0,0.0,0.0,1,0,н,1,1
53,хор,1.0,0.0,0.0,1,1,р,1,1
54,хребет,1.0,0.0,0.0,1,1,т,2,1
55,чердак,1.0,0.0,0.0,1,1,к,2,1
56,потолок,1.0,0.0,0.0,1,1,к,3,1
57,дежурство,1.0,0.0,0.0,1,0,в,2,1
58,полотенчико,1.0,1.0,0.5,1,0,к,4,1
60,замок,1.0,0.0,0.0,1,1,к,2,1
61,князь,1.0,0.0,0.0,0,1,з',1,0
62,курс,1.0,0.0,0.0,1,1,с,1,1
63,март,1.0,0.0,0.0,1,1,т,1,1
64,местечко,1.0,0.0,0.0,1,0,к,2,1
65,место,1.0,0.0,0.0,1,0,т,1,1
66,карман,1.0,0.0,0.0,1,1,н,2,1
67,мешок,1.0,0.0,0.0,1,1,к,2,1
68,мешочек,1.0,0.0,0.0,1,1,к,3,1
69,молокозавод,1.0,0.0,0.0,1,1,д,5,1
70,журнал,1.0,0.0,0.0,1,1,л,2,1
71,конец,1.0,0.0,0.0,1,1,ц,2,1
