,word,lema,animacy,gender,finale,n_syll,preposition,context
0,чайнике,чайник,inan,masc,к,2,в,"Сынок , у меня вот кипяток блин в чайнике"
1,севере,север,inan,masc,р,2,на,"Они с супругом были где , на севере , да"
2,сельсовете,сельсовет,inan,masc,т,3,в,"Я как - то сидела и считала . Пришла я работать , это у нас полторы тысячи жителей было только вот . В сельсовете"
3,начале,начало,inan,neut,л,2,в,Ну да . Где - то в начале семидесятых
4,подвале,подвал,inan,masc,л,2,в,"Нет , нет , клада там не было в подвале"
5,сне,сон,inan,masc,н,1,во,"А так видеть я её как бы во сне сама вот не видела , чтоб конкретно так я увидела , нет"
6,детстве,детство,inan,neut,в,1,в,"Ну вот в детстве вот в Емельянцеве я ловила , да и тут тоже ловила"
7,пузыре,пузырь,inan,masc,р',2,в,Она . . . У ней были камни в почк = в мочевом пузыре
8,виде,вид,inan,masc,д,1,в,"Брал такую , у него было в виде , блюдце такое было , и вот так рот раскрывал , и она это , нажимал на"
9,начале,начало,inan,neut,л,2,в,"А дядька жил вот в начале в Барабанах там с матерью , с отцом , потом себе в Белках дом построил"
10,парнике,парник,anim,masc,к,2,в,"Картошка , помидоры , огурцы . В парнике"
11,мате,мат,inan,masc,т,1,в,В мате = вот в Матюшкине
12,начале,начало,inan,neut,л,2,в,"Молодая . Вот она , это самое , вот торфопредприятие она там в начале разрабатывала , вот семьдесят , да семьдесят четвёртый год"
13,начале,начало,inan,neut,л,2,в,"Ну в начале люди , да , потому что там не было жилья , в начале вот там построили вот такой цех . Ну это , брикет делали"
14,начале,начало,inan,neut,л,2,в,"Ну в начале люди , да , потому что там не было жилья , в начале вот там построили вот такой цех . Ну это , брикет делали"
15,начале,начало,inan,neut,л,2,в,"А потом вот , в начале построили там двенадцатиквартирный дом . ."
16,яле,ял,inan,masc,л,1,в,Он в яле работает
17,марте,март,inan,masc,т,1,в,"Вот , в марте месяце ему уже пенсия может быть"
18,месяце,месяц,inan,masc,ц,2,в,"Вот , в марте месяце ему уже пенсия может быть"
19,автобусе,автобус,inan,masc,с,3,на,А летом на автобусе
20,перекрёстке,перекрёсток,inan,masc,к,4,на,"Да , гроб несколько раз вот так поднимут , переворачивают как - то к солнцу , вот здесь на перекрёстке , помню вот этих дедов ( нрзб )"
21,начале,начало,inan,neut,л,2,в,"Да , четыре , ну эту , крышку в начале несут , крест , крышку . ."
22,возрасте,возраст,inan,masc,т,2,в,"И в своё время он пришёл , ну как , ей помогал там воды переносить , она уже была в возрасте"
23,масле,масло,inan,neut,л,1,на,"Вот он на неё матом : ещё раз , говорит , будешь пост соблюдать . . . А она ничего такого , капусту вот именно там на масле растительном , раз нельзя вот , уже пост она точно соблюдала , уже ничего она не нарушит"
24,языке,язык,inan,masc,к,2,на,"И она была вот этом , на языке , как лати = , нет"
25,языке,язык,inan,masc,к,2,на,"С = да - да - да - да , славянском , на славянском вот этом языке"
26,начале,начало,inan,neut,л,2,в,"Деревня , как поворачиваешь . . . В начале будут Броды деревня , потом вот дальше Матюшкино"
27,доме,дом,inan,masc,м,1,во,"Там два вроде бы ещё . . . Во втором доме появивше , вот , ну я в выборах до сих пор участвую , так это самое . ."
28,педколледже,педколледж,inan,masc,ж,3,в,"Ну в Опочке тоже училась , в педколледже"
29,начале,начало,inan,neut,л,2,в,В начале сразу предложили на торфобрикетном поработать . .
30,садике,садик,inan,masc,к,2,в,Немножко в садике я . .
