,word,lema,animacy,gender,finale,n_syll,preposition,context
0,году,год,inan,masc,д,1,в,"Она списана в шестьдесят четвёртом году , её списали"
1,году,год,inan,masc,д,1,в,"Его . . . Сюда . . . В каком году не буду говорить , но после войны . ."
2,году,год,inan,masc,д,1,в,"Вот , в каком же это году , был этот , у нас этот , ле = ледяной дождь - то"
3,году,год,inan,masc,д,1,в,"Тут нет , вот как были на вырубках в прошлом году земляника , у меня внук был тут привезено , ну вот на выходные двенадцатого . ."
4,валу,вал,inan,masc,л,1,на,"Ну вот сколько помню , всегда праздновали , вот ( нрзб ) в Опочку вот . . . Там я вот , как вот на валу , там эти , на лошадках ездили . ."
5,краю,край,inan,masc,й,1,в,В этом краю
6,году,год,inan,masc,д,1,в,В сорок девятом году
7,году,год,inan,masc,д,1,в,"Мы здесь с женой жили , жена умерла вот у меня . . . в пятнадцатом году"
8,году,год,inan,masc,д,1,в,"Астма , сахарный диабет , вот шунтирование сделали в пятнадцатом году"
9,баенку,баёнок,anim,masc,к,3,в,"И вот раз приходили в баньку ( баенку ) , нам носили большую такую чашку белую слив"
10,году,год,inan,masc,д,1,в,"В прошлом году , в позапрошлом . ."
11,году,год,inan,masc,д,1,в,"И в прошлом году ходили женщины , < нрзб > ругал < нрзб > "" Не приваживай ."
12,лесу,лес,inan,masc,с,1,в,Я и не была в лесу
13,счету,счёт,inan,masc,т,1,на,"Вот , на звонки на эти , кредиты и всё предлагают , какие - то деньги на счету , всё на свете , ( нрзб ) , всё , везде , везде деньги , без денег ты не человек . Никто"
14,мосту,мост,inan,masc,т,1,на,"Нет , он не старинный , на этом мосту был другой мост поставлен"
15,пруду,пруд,inan,masc,д,1,на,"Оставляем тазики , где стираться вот на пруду , например , да , где полоскаешься , ты ж не будешь в пруду полоскаться у нас , берёшь с ведерка , набираешь в тазик , полоскаешься там . ."
16,пруду,пруд,inan,masc,д,1,в,"Оставляем тазики , где стираться вот на пруду , например , да , где полоскаешься , ты ж не будешь в пруду полоскаться у нас , берёшь с ведерка , набираешь в тазик , полоскаешься там . ."
17,порту,порт,inan,masc,т,1,в,"Да , да , да , вот сколько я с девчонками работала , и там предприятия всякие , и на заводах вот я работала , и в порту я работала в Автово вот . ."
18,шагу,шаг,inan,masc,г,1,на,"На каждом шагу бабки , дедки"
19,лесу,лес,inan,masc,с,1,в,"Вот недавно кто - то , говорит , в лесу за ягодами пошёл , так увидели этих самых , как его . ."
20,году,год,inan,masc,д,1,в,"Да , в этом году , и в том году . . . Как - то , ну , несколько морозов там было , но разве это мороз"
21,году,год,inan,masc,д,1,в,"Да , в этом году , и в том году . . . Как - то , ну , несколько морозов там было , но разве это мороз"
22,году,год,inan,masc,д,1,в,В семьдесят восьмом году я с армии пришёл
23,году,год,inan,masc,д,1,в,в семьдесят восьмом году мы переехали . .
24,году,год,inan,masc,д,1,в,"Значит , я там отжил ( отжи'л ) с пятьдесят шестого года по . . . семьдесят . . . семьдесят восьмом , в семьдесят восьмом году переехали ,"
25,виду,вид,inan,masc,д,1,в,"Ну , я имею в виду , это самое , на границе"
26,году,год,inan,masc,д,1,в,"Я в колхозе с восемьдесят третьего , вот , перешёл , дом дали вот этот в восемьдесят третьем году"
27,году,год,inan,masc,д,1,в,В две тысячи восьмом году
28,году,год,inan,masc,д,1,в,"девянос = в семьдесят втором году я кончил , это самое , школу , это самое"
29,году,год,inan,masc,д,1,в,в тридцать втором году
30,году,год,inan,masc,д,1,в,"Здесь мы построились в восемьдесят . . . каком ? Хм , нет , в восемьдесят . . . нет ! В семьдесят восьмом году мы сюда перешли"
31,году,год,inan,masc,д,1,в,В семьдесят восьмом году мы вот сюда опять переехали в эту деревню
32,году,год,inan,masc,д,1,в,"а последняя сестра родилась в самую войну , в сорок втором году"
33,году,год,inan,masc,д,1,на,"все на семьдесят восьмом году , а вот я всё живу"
34,году,год,inan,masc,д,1,на,"А младшая - то умерла рано , на шестьдесят восьмом году"
35,году,год,inan,masc,д,1,на,"А на двадцать четвертом году я вышла , двадцать три года было мне"
36,году,год,inan,masc,д,1,в,С тридцать второго - в шестидесятом году
37,году,год,inan,masc,д,1,в,"Тоже отца не было , отец умерши ещё в тридцать девятом году у него"
38,году,год,inan,masc,д,1,в,В пятьдесят шестом году
39,году,год,inan,masc,д,1,в,Я сразу в пятьдесят седьмом году и родила
40,году,год,inan,masc,д,1,в,А брат уже в сорок четвёртом году
41,году,год,inan,masc,д,1,в,"Он в прошлом году говорил , не , до этого говорил : "" Мама . . . Бабушка"
42,народу,народ,inan,masc,д,2,в,народ и в д = ( деревне ) . . . в деревне народу было много
43,краю,край,inan,masc,й,1,в,"Ну - от , правда , там , вот , в том краю , вот"
44,саду,сад,inan,masc,д,1,в,Беседка у них в
45,лесу,лес,inan,masc,с,1,в,"Сразу в лесу , чурками наделает , перевозит - только колоть"
46,лесу,лес,inan,masc,с,1,в,Сегодня и Сергей в лесу немного был
47,году,год,inan,masc,д,1,в,"Я знаю , что в прошлом году сразу был на горе"
48,году,год,inan,masc,д,1,в,"Не , не в этом . Ну году два , а может , три , вот"
49,углу,угол,inan,masc,л,2,на,"Вот тут на углу дом , цыганка живёт"
50,гробу,гроб,inan,masc,б,1,в,В гробу хоронить . А не сжигать
51,лесу,лес,inan,masc,с,1,в,"А ноньма это , сын в лесу был , ногу испортил ( спортил )"
52,хлеву,хлев,inan,masc,в,1,в,"Под поветями , в хлеву дрова ( дровы ) , в дровяннике дрова ( дровы )"
53,дому,дом,inan,masc,м,1,в,В дому только
54,дому,дом,inan,masc,м,1,в,И у цыганки Вики в дому вода
55,берегу,берег,inan,masc,г,2,на,На берегу реки
56,,кат,inan,masc,т,1,в,"Пойду погляжу : как будто нет ничего . А они в  <кату > в какую - нибудь засыпят , потом вечером выгребют и продадут . Не в ларь"
57,хлеву,хлев,inan,masc,в,1,в,"Вышли гулять , а то бы = были спрятавшися в хлеву . Сейчас вышли гулять уже"
58,году,год,inan,masc,д,1,в,"Я помню , я когда приехала . Поженились мы в семьдесят третьем году"
59,году,год,inan,masc,д,1,в,"Сидела дома , печку топила , так на стуле и умерла . И вот в прошлом году или запрошлом его младший сын , последний , замерз пьяный в луже"
60,году,год,inan,masc,д,1,в,"В прошлом году , тоже , после нового года"
61,валу,вал,inan,masc,л,1,на,"Но Великая , Великая не , не - не . Великая , это приезжает и Белоруссия , приезжает это . . . На валу праздник проходит"
62,Городу,город,inan,masc,д,2,на,Где - то провести . У нас же много памятных мест по деревням . И вот чтоб водить экскурсии и зарабатывать на этом деньги . Городу дополнительная чтобы прибыль была
63,берегу,берег,inan,masc,г,2,на,"И погибши = . . . На площади очень много . И там воинам погибшим памятник большой стоит же . Около речки , прямо на берегу речки вот такой косогор"
64,году,год,inan,masc,д,1,в,"А вот последние деревни списывали . . . вот . . . сейчас скажу , в каком . . . в шестьдесят четвёртом году"
65,лесу,лес,inan,masc,с,1,в,"Ещё соседи - молодой и это ( йето ) , соседов сын сейчас в лесу работал , нога испорчена ( спорчена ) , на три месяца на костылях ходит . Вот"
66,углу,угол,inan,masc,л,2,на,"Пожар , конечно , страшное дело . Вот кирпичный дом на углу , и рядом дом , а я посерёдке"
67,углу,угол,inan,masc,л,2,на,"И стоит эта помойка , а эта ( йета ) помойка был на углу , вот что"
68,году,год,inan,masc,д,1,на,На границе служил два году
