,lema,animacy,gender,finale,n_syll,accent,soft0
0,чайник,1,1,к,2,0,1
1,север,1,1,р,2,0,1
2,сельсовет,1,1,т,3,0,1
3,начало,1,0,л,2,0,1
4,подвал,1,1,л,2,0,1
5,сон,1,1,н,1,0,1
6,детство,1,0,в,1,0,1
7,пузырь,1,1,р',2,0,0
8,вид,1,1,д,1,0,1
9,начало,1,0,л,2,0,1
10,парник,0,1,к,2,0,1
11,начало,1,0,л,2,0,1
12,начало,1,0,л,2,0,1
13,начало,1,0,л,2,0,1
14,начало,1,0,л,2,0,1
15,ял,1,1,л,1,0,1
16,март,1,1,т,1,0,1
17,месяц,1,1,ц,2,0,1
18,автобус,1,1,с,3,0,1
19,перекрёсток,1,1,к,4,0,1
20,начало,1,0,л,2,0,1
21,возраст,1,1,т,2,0,1
22,масло,1,0,л,1,0,1
23,язык,1,1,к,2,0,1
24,язык,1,1,к,2,0,1
25,начало,1,0,л,2,0,1
26,дом,1,1,м,1,1,1
27,педколледж,1,1,ж,3,0,1
28,начало,1,0,л,2,0,1
29,садик,1,1,к,2,0,1
30,начало,1,0,л,2,0,1
31,начало,1,0,л,2,0,1
32,север,1,1,р,2,0,1
33,уровень,1,1,н',3,0,0
34,возраст,1,1,т,2,0,1
35,колено,1,0,н,2,0,1
36,колхоз,1,1,з,2,0,1
37,город,1,1,д,2,0,1
38,август,1,1,т,2,0,1
39,город,1,1,д,2,0,1
40,хутор,1,1,р,2,0,1
41,кузов,1,1,в,2,0,1
42,ленград,1,1,д,2,0,1
43,июнь,1,1,н',2,0,0
44,июнь,1,1,н',2,0,0
45,июль,1,1,л',2,0,0
46,город,1,1,д,2,0,1
47,город,1,1,д,2,0,1
48,город,1,1,д,2,0,1
49,город,1,1,д,2,0,1
50,экзамен,1,1,н,3,0,1
51,конь,0,1,н',1,0,0
52,мозг,1,1,г,1,1,1
53,экзамен,1,1,н,3,0,1
54,велосипед,1,1,д,4,0,1
55,город,1,1,д,2,0,1
56,переход,1,1,д,3,0,1
57,город,1,1,д,2,0,1
58,дом,1,1,м,1,1,1
59,асфальт,1,1,т,2,0,1
60,велосипед,1,1,д,4,0,1
61,город,1,1,д,2,0,1
62,город,1,1,д,2,0,1
63,город,1,1,д,2,0,1
64,велосипед,1,1,д,4,0,1
65,город,1,1,д,2,0,1
66,город,1,1,д,2,0,1
67,город,1,1,д,2,0,1
68,город,1,1,д,2,0,1
69,магазин,1,1,н,3,0,1
70,трамвай,1,1,й,2,0,1
71,троллейбус,1,1,с,3,0,1
72,маникюр,1,1,р,3,0,1
73,педикюр,1,1,р,3,0,1
74,город,1,1,д,2,0,1
75,дом,1,1,м,1,1,1
76,дом,1,1,м,1,1,1
77,болото,1,0,т,2,0,1
78,автобус,1,1,с,3,0,1
79,болото,1,0,т,2,0,1
80,поле,1,0,л',1,0,0
81,колхоз,1,1,з,2,0,1
82,подвал,1,1,л,2,0,1
83,класс,1,1,с,1,0,1
84,колхоз,1,1,з,2,0,1
85,итог,1,1,г,2,0,1
86,дом,1,1,м,1,1,1
87,колхоз,1,1,з,2,0,1
88,город,1,1,д,2,0,1
89,город,1,1,д,2,0,1
90,город,1,1,д,2,0,1
91,колхоз,1,1,з,2,0,1
92,язык,1,1,к,2,0,1
93,подол,1,1,л,2,0,1
94,дом,1,1,м,1,1,1
95,лесничество,1,0,в,3,0,1
96,колхоз,1,1,з,2,0,1
97,остров,1,1,в,2,0,1
98,полеводство,1,0,в,3,0,1
99,принцип,1,1,п,2,0,1
100,место,1,0,т,1,0,1
101,место,1,0,т,1,0,1
102,место,1,0,т,1,0,1
103,место,1,0,т,1,0,1
104,рынок,1,1,к,2,0,1
105,поле,1,0,л',1,0,0
106,поле,1,0,л',1,0,0
107,поле,1,0,л',1,0,0
108,поле,1,0,л',1,0,0
109,поле,1,0,л',1,0,0
110,принцип,1,1,п,2,0,1
111,институт,1,1,т,3,0,1
112,конец,1,1,ц,2,0,1
113,вид,1,1,д,1,0,1
114,район,1,1,н,2,0,1
115,принцип,1,1,п,2,0,1
116,город,1,1,д,2,0,1
117,минитрактор,1,1,р,4,0,1
118,город,1,1,д,2,0,1
119,принцип,1,1,п,2,0,1
120,город,1,1,д,2,0,1
121,город,1,1,д,2,0,1
122,дом,1,1,м,1,1,1
123,место,1,0,т,1,0,1
124,святотец,1,1,ц,3,0,1
125,дом,1,1,м,1,1,1
126,город,1,1,д,2,0,1
127,дом,1,1,м,1,1,1
128,колхоз,1,1,з,2,0,1
129,колхоз,1,1,з,2,0,1
130,огород,1,1,д,3,0,1
131,колхоз,1,1,з,2,0,1
132,бензовоз,1,1,з,3,0,1
133,октябрь,1,1,р',2,0,0
134,июнь,1,1,н',2,0,0
135,восток,1,1,к,2,0,1
136,остров,1,1,в,2,0,1
137,остров,1,1,в,2,0,1
138,колхоз,1,1,з,2,0,1
139,класс,1,1,с,1,0,1
140,смысл,1,1,л,1,0,1
141,центр,1,1,р,1,0,1
142,колхоз,1,1,з,2,0,1
143,колхоз,1,1,з,2,0,1
144,ноябрь,1,1,р',2,0,0
145,январь,1,1,р',2,0,0
146,январь,1,1,р',2,0,0
147,дом,1,1,м,1,1,1
148,уголок,1,1,к,3,0,1
149,диван,1,1,н,2,0,1
150,автобус,1,1,с,3,0,1
151,дом,1,1,м,1,1,1
152,конец,1,1,ц,2,0,1
153,колхоз,1,1,з,2,0,1
154,садик,1,1,к,2,0,1
155,колхоз,1,1,з,2,0,1
156,техникум,1,1,м,3,0,1
157,чулан,1,1,н,2,0,1
158,магазин,1,1,н,3,0,1
159,август,1,1,т,2,0,1
160,огород,1,1,д,3,0,1
161,дом,1,1,м,1,1,1
162,дом,1,1,м,1,1,1
163,дом,1,1,м,1,1,1
164,колхоз,1,1,з,2,0,1
165,колхоз,1,1,з,2,0,1
166,июнь,1,1,н',2,0,0
167,июнь,1,1,н',2,0,0
168,курс,1,1,с,1,0,1
169,бюджет,1,1,т,2,0,1
170,камаз,1,1,з,2,0,1
171,район,1,1,н,2,0,1
172,дом,1,1,м,1,1,1
173,конь,0,1,н',1,0,0
174,апрель,1,1,л',2,0,0
175,колхоз,1,1,з,2,0,1
176,село,1,0,л,1,0,1
