,lema,animacy,gender,finale,n_syll,accent,soft0
0,год,1,1,д,1,1,1
1,год,1,1,д,1,1,1
2,год,1,1,д,1,1,1
3,год,1,1,д,1,1,1
4,вал,1,1,л,1,1,1
5,край,1,1,й,1,1,1
6,год,1,1,д,1,1,1
7,год,1,1,д,1,1,1
8,год,1,1,д,1,1,1
9,год,1,1,д,1,1,1
10,год,1,1,д,1,1,1
11,лес,1,1,с,1,1,1
12,счёт,1,1,т,1,1,1
13,мост,1,1,т,1,1,1
14,пруд,1,1,д,1,1,1
15,пруд,1,1,д,1,1,1
16,порт,1,1,т,1,1,1
17,шаг,1,1,г,1,1,1
18,лес,1,1,с,1,1,1
19,год,1,1,д,1,1,1
20,год,1,1,д,1,1,1
21,год,1,1,д,1,1,1
22,год,1,1,д,1,1,1
23,год,1,1,д,1,1,1
24,вид,1,1,д,1,0,1
25,год,1,1,д,1,1,1
26,год,1,1,д,1,1,1
27,год,1,1,д,1,1,1
28,год,1,1,д,1,1,1
29,год,1,1,д,1,1,1
30,год,1,1,д,1,1,1
31,год,1,1,д,1,1,1
32,год,1,1,д,1,1,1
33,год,1,1,д,1,1,1
34,год,1,1,д,1,1,1
35,год,1,1,д,1,1,1
36,год,1,1,д,1,1,1
37,год,1,1,д,1,1,1
38,год,1,1,д,1,1,1
39,год,1,1,д,1,1,1
40,год,1,1,д,1,1,1
41,край,1,1,й,1,1,1
42,сад,1,1,д,1,1,1
43,лес,1,1,с,1,1,1
44,лес,1,1,с,1,1,1
45,год,1,1,д,1,1,1
46,год,1,1,д,1,1,1
47,угол,1,1,л,2,0,1
48,гроб,1,1,б,1,1,1
49,лес,1,1,с,1,1,1
50,хлев,1,1,в,1,1,1
51,дом,1,1,м,1,1,1
52,дом,1,1,м,1,1,1
53,берег,1,1,г,2,0,1
54,хлев,1,1,в,1,1,1
55,год,1,1,д,1,1,1
56,год,1,1,д,1,1,1
57,год,1,1,д,1,1,1
58,вал,1,1,л,1,1,1
59,берег,1,1,г,2,0,1
60,год,1,1,д,1,1,1
61,лес,1,1,с,1,1,1
62,угол,1,1,л,2,0,1
63,угол,1,1,л,2,0,1
64,год,1,1,д,1,1,1
