,lema,0e_num,0y_num,perc,animacy,gender,finale,n_syll,soft0
0,город,24.0,0.0,0.0,1,1,д,2,1
1,дом,21.0,2.0,0.08695652173913043,1,1,м,1,1
3,колхоз,18.0,0.0,0.0,1,1,з,2,1
4,начало,11.0,0.0,0.0,1,0,л,2,1
5,поле,7.0,0.0,0.0,1,0,л',1,0
6,центр,6.0,0.0,0.0,1,1,р,1,1
7,место,5.0,0.0,0.0,1,0,т,1,1
8,июнь,5.0,0.0,0.0,1,1,н',2,0
9,принцип,4.0,0.0,0.0,1,1,п,2,1
10,север,3.0,0.0,0.0,1,1,р,2,1
11,морг,3.0,0.0,0.0,1,1,г,1,1
12,велосипед,3.0,0.0,0.0,1,1,д,4,1
13,стадион,3.0,0.0,0.0,1,1,н,3,1
14,остров,3.0,0.0,0.0,1,1,в,2,1
15,автобус,3.0,0.0,0.0,1,1,с,3,1
16,язык,3.0,0.0,0.0,1,1,к,2,1
17,подвал,3.0,0.0,0.0,1,1,л,2,1
18,магазин,2.0,0.0,0.0,1,1,н,3,1
19,конь,2.0,0.0,0.0,0,1,н',1,0
20,август,2.0,0.0,0.0,1,1,т,2,1
21,огород,2.0,0.0,0.0,1,1,д,3,1
22,район,2.0,0.0,0.0,1,1,н,2,1
23,садик,2.0,0.0,0.0,1,1,к,2,1
24,сельсовет,2.0,0.0,0.0,1,1,т,3,1
25,экзамен,2.0,0.0,0.0,1,1,н,3,1
26,конец,2.0,0.0,0.0,1,1,ц,2,1
27,январь,2.0,0.0,0.0,1,1,р',2,0
28,возраст,2.0,0.0,0.0,1,1,т,2,1
29,болото,2.0,0.0,0.0,1,0,т,2,1
30,вид,2.0,1.0,0.3333333333333333,1,1,д,1,1
32,июль,2.0,0.0,0.0,1,1,л',2,0
33,класс,2.0,0.0,0.0,1,1,с,1,1
34,клуб,2.0,0.0,0.0,1,1,б,1,1
35,пузырь,1.0,0.0,0.0,1,1,р',2,0
36,бюджет,1.0,0.0,0.0,1,1,т,2,1
37,рынок,1.0,0.0,0.0,1,1,к,2,1
38,стул,1.0,0.0,0.0,1,1,л,1,1
39,бибилотёк,1.0,0.0,0.0,1,1,к,4,1
40,село,1.0,0.0,0.0,1,0,л,1,1
41,бензовоз,1.0,0.0,0.0,1,1,з,3,1
42,смысл,1.0,0.0,0.0,1,1,л,1,1
43,сон,1.0,0.0,0.0,1,1,н,1,1
44,бензин,1.0,0.0,0.0,1,1,н,2,1
45,святотец,1.0,0.0,0.0,1,1,ц,3,1
46,колено,1.0,0.0,0.0,1,0,н,2,1
47,техникум,1.0,0.0,0.0,1,1,м,3,1
48,трамвай,1.0,0.0,0.0,1,1,й,2,1
49,троллейбус,1.0,0.0,0.0,1,1,с,3,1
50,уголок,1.0,0.0,0.0,1,1,к,3,1
51,уровень,1.0,0.0,0.0,1,1,н',3,0
52,хутор,1.0,0.0,0.0,1,1,р,2,1
53,базар,1.0,0.0,0.0,1,1,р,2,1
54,чайник,1.0,0.0,0.0,1,1,к,2,1
55,чулан,1.0,0.0,0.0,1,1,н,2,1
56,асфальт,1.0,0.0,0.0,1,1,т,2,1
57,апрель,1.0,0.0,0.0,1,1,л',2,0
58,ял,1.0,0.0,0.0,1,1,л,1,1
59,трактор,1.0,0.0,0.0,1,1,р,2,1
60,подол,1.0,0.0,0.0,1,1,л,2,1
61,полеводство,1.0,0.0,0.0,1,0,в,3,1
62,минитрактор,1.0,0.0,0.0,1,1,р,4,1
63,кузов,1.0,0.0,0.0,1,1,в,2,1
64,курс,1.0,0.0,0.0,1,1,с,1,1
65,лагер,1.0,0.0,0.0,1,1,р,2,1
66,ленград,1.0,0.0,0.0,1,1,д,2,1
67,лесничество,1.0,0.0,0.0,1,0,в,3,1
68,карман,1.0,0.0,0.0,1,1,н,2,1
69,маникюр,1.0,0.0,0.0,1,1,р,3,1
70,март,1.0,0.0,0.0,1,1,т,1,1
71,масло,1.0,0.0,0.0,1,0,л,1,1
72,камаз,1.0,0.0,0.0,1,1,з,2,1
73,месяц,1.0,0.0,0.0,1,1,ц,2,1
74,итог,1.0,0.0,0.0,1,1,г,2,1
75,комод,1.0,0.0,0.0,1,1,д,2,1
76,институт,1.0,0.0,0.0,1,1,т,3,1
77,ноябрь,1.0,0.0,0.0,1,1,р',2,0
78,диван,1.0,0.0,0.0,1,1,н,2,1
79,октябрь,1.0,0.0,0.0,1,1,р',2,0
80,детство,1.0,0.0,0.0,1,0,в,1,1
81,парник,1.0,0.0,0.0,0,1,к,2,1
82,педикюр,1.0,0.0,0.0,1,1,р,3,1
83,педколледж,1.0,0.0,0.0,1,1,ж,3,1
84,перекрёсток,1.0,0.0,0.0,1,1,к,4,1
85,переход,1.0,0.0,0.0,1,1,д,3,1
86,восток,1.0,0.0,0.0,1,1,к,2,1
87,мозг,1.0,0.0,0.0,1,1,г,1,1
88,год,0.0,37.0,1.0,1,1,д,1,1
89,лес,0.0,6.0,1.0,1,1,с,1,1
90,угол,0.0,3.0,1.0,1,1,л,2,1
91,берег,0.0,2.0,1.0,1,1,г,2,1
92,вал,0.0,2.0,1.0,1,1,л,1,1
93,край,0.0,2.0,1.0,1,1,й,1,1
94,пруд,0.0,2.0,1.0,1,1,д,1,1
95,хлев,0.0,2.0,1.0,1,1,в,1,1
96,гроб,0.0,1.0,1.0,1,1,б,1,1
97,мост,0.0,1.0,1.0,1,1,т,1,1
98,порт,0.0,1.0,1.0,1,1,т,1,1
99,сад,0.0,1.0,1.0,1,1,д,1,1
100,счёт,0.0,1.0,1.0,1,1,т,1,1
101,шаг,0.0,1.0,1.0,1,1,г,1,1
