,word,lema,animacy,gender,finale,n_syll,preposition,context
0,комбайне,комбайн,inan,masc,н,2,на,"У них да скоту - то всё сеют , да молотят да , мелют , на комбайне"
1,октябре,октябрь,inan,masc,р',2,в,Семьдесят два будет в октябре
2,колхозе,колхоз,inan,masc,з,2,в,"Ненавистно так жили , в колхозе так жили"
3,сентябре,сентябрь,inan,masc,р',2,в,"целое лето там живёшь , домой не спускали , и снова ли уйдёшь осенью в сентябре да и"
4,совхозе,совхоз,inan,masc,з,2,в,"нам хватило горя , всё везде , в совхозе и в колхозе и в"
5,колхозе,колхоз,inan,masc,з,2,в,"нам хватило горя , всё везде , в совхозе и в колхозе и в"
6,колхозе,колхоз,inan,masc,з,2,в,"Он тоже единолично еще помер , не в колхозе"
7,животе,живот,inan,masc,т,2,в,"но один - то остался в животе , Степанова Колька - то , тот , погодки были дак"
8,Койнасе,койнас,anim,masc,с,2,на,на Койнасе где - то жили
9,городе,город,inan,masc,д,2,в,хоть а в городе живут
10,городе,город,inan,masc,д,2,в,"А в городе ты всё торопишься , всё спешишь , одно надо другое надо успеть"
11,тракторе,трактор,inan,masc,р,2,на,"поехали на тракторе и , нога - то сключила , да под гусеницу так"
12,колесе,колесо,inan,neut,с,2,в,"Вся жизнь в колесе , как , вертелась"
13,моторе,мотор,inan,masc,р,2,на,На моторе
14,озере,озеро,inan,neut,р,2,в,"она , рыба , хоть и в озере есть , она воду чует , она уж не идёт в рюжу"
15,пароходе,пароход,inan,masc,д,3,на,"Можно , да , на Ракете , и на пароходе , и на всём"
16,самолёте,самолёт,inan,masc,т,3,на,"Да - а , вот на маленьком - то самолёте , такой вот летает . . . двенадцатиместный - то"
17,чердаке,чердак,inan,masc,к,2,на,"моторов - то , ак уж и всякие - то были , всякие ; Ветерок лежит на чердаке вот , никто и не оглядывается"
18,мотоцикле,мотоцикл,inan,masc,л,3,на,"Ездят , у нас Колька зимой - то дома - то был , а всё на мотоцикле - сено - то"
19,грязе,гряз,inan,masc,з,1,в,"Не боятся они ничего [ ] было , приехали оба с Юркой , Юрка тоже привёз его с аэропорта - то , дак все в грязе , оба оба в грязе оделися"
20,грязе,гряз,inan,masc,з,1,в,"Не боятся они ничего [ ] было , приехали оба с Юркой , Юрка тоже привёз его с аэропорта - то , дак все в грязе , оба оба в грязе оделися"
21,этаже,этаж,inan,masc,ж,2,на,"дак вот котора - то на низу , а они живут на втором этаже , такой деревянный дом - то"
22,октябре,октябрь,inan,masc,р',2,в,"Сестра , говорю , померла осенью , осенью , в октябре , двадцать девятого октября"
23,Вадюге,вадюг,inan,masc,г,2,на,Здесь тоже на Вадюге
24,доме,дом,inan,masc,м,1,в,"там вот последний - то дом , живёт один - то мужик , бывает , были в доме"
25,кармане,карман,inan,masc,н,2,в,"и там заробит , и кошель у себя в кармане , а чего не пить - то"
26,Белорусе,белорус,anim,masc,с,3,на,"Он всё трактористом вот на Белорусе работал , а сейчас тоже у него боле уж постарел Белорус - то дак"
27,корыте,корыто,inan,neut,т,2,в,В корыте
28,магазине,магазин,inan,masc,н,3,в,сейчас в магазине хватает
29,магазине,магазин,inan,masc,н,3,в,"Дак сейчас в магазине , говорят , купишь молоко дак не на = не надо мыть посуду"
30,поле,поле,inan,neut,л',1,в,"Раньше в поле пойдут , туесок нальют молока и"
31,туесе,туес,inan,masc,с,2,в,"вкуснее в туесе - то , чем так вот"
32,магазине,магазин,inan,masc,н,3,в,раньше всё шили сейчас - то ведь в магазине много ак
33,коромысле,коромысло,inan,neut,л,3,на,"ушат начерпают там - то , на коромысле - то принесут"
34,коромысле,коромысло,inan,neut,л,3,на,"на коромысле я на плече и она на плече , а в середине у нас ушат"
35,плече,плечо,inan,neut,ч,1,на,"на коромысле я на плече и она на плече , а в середине у нас ушат"
36,плече,плечо,inan,neut,ч,1,на,"на коромысле я на плече и она на плече , а в середине у нас ушат"
37,колхозе,колхоз,inan,masc,з,2,в,"В колхозе заваривали всё , каждой"
