,word,lema,animacy,gender,finale,n_syll,preposition,context
0,лесу,лес,inan,masc,с,1,в,"вот тут , и всё , чего , да в лесах да , в лесу жили да , опять лес плавим там выше Василёва дак , рубили да"
1,лесу,лес,inan,masc,с,1,в,"А - а , заставят , четырнадцать - то мне стало только и в лесу , всё [ ] , как , ходили"
2,аэропорту,аэропорт,inan,masc,т,4,на,"Дак привезёт Юрка , друг опять у него есть там дак , на аэропорту работает парень тоже , друзья , чего"
3,низу,низ,inan,masc,з,1,на,"дак вот котора - то на низу , а они живут на втором этаже , такой деревянный дом - то"
4,дому,дом,inan,masc,м,1,в,"ак и всё пировали вот тут у Карпунина - то в том дому жили , ак ведь ой было попировано , всё он рос дак всё время пировали у нас"
5,мосту,мост,inan,masc,т,1,на,"на мосту - то пляшут , дак ведь только гром стоит , а"
6,году,год,inan,masc,д,1,на,"Я пятьдесят и пять , меня еще , пятьдесят на третьем году я еще"
7,лесу,лес,inan,masc,с,1,в,"Але хоть в лесу придешь , пилишь да , о - ой , ведь коль весело и будет , пилишь , да знаш ли чего , сосну уронишь , да карзаешь , да сучья жгешь да"
8,году,год,inan,masc,д,1,в,"Да в этом году ведь столько их , ведь такая жара дак , их ринуло столько , ак отбиться некак"
9,отпуску,отпуск,inan,masc,к,2,в,как не в отпуску
10,верху,верх,inan,masc,х,1,на,"ну и воронили , на верху и везли дак"
11,лесу,лес,inan,masc,с,1,в,"а потом стали его искать и всё , а он в лесу дак"
12,лесу,лес,inan,masc,с,1,в,он в лесу его быт = был вытащил не
13,дому,дом,inan,masc,м,1,в,"мы , в дому переделывают , говорит , Ерохов , сделают сами"
14,месяцу,месяц,inan,masc,ц,2,в,"а трески давно ныне заваривала , не помню когда , в этом месяцу , трески не заваривала"
15,углу,угол,inan,masc,л,2,в,"Так вот , живем тут в самом углу"
16,углу,угол,inan,masc,л,2,на,"А вот ящичек вот там есть на углу , да кладут"
17,году,год,inan,masc,д,1,в,"я вышла в девятнадцатом году ,"
18,году,год,inan,masc,д,1,в,"Война - то много ли кончилась когда , ак вот я в том году вышла ак"
19,боку,бок,inan,masc,к,1,на,"Вон тут на боку - то у вас , говорила - то"
20,накладу,наклад,inan,masc,д,2,на,на протвиньки накладу дак
21,отпуску,отпуск,inan,masc,к,2,в,"Она сейчас в отпуску , хозяйка - та у него дак"
22,лесу,лес,inan,masc,с,1,в,"А в лесу - то , в лесу - то бедный спал дак"
23,лесу,лес,inan,masc,с,1,в,"А в лесу - то , в лесу - то бедный спал дак"
24,боку,бок,inan,masc,к,1,на,На боку тут изба была
25,лесу,лес,inan,masc,с,1,в,"сперва - то молода - то , ведь в лесу была , ещё лес рубила"
26,лесу,лес,inan,masc,с,1,в,"Поброди - ко в лесу - то день - то да как есть - то , молодые - то а ведь много надо"
27,лесу,лес,inan,masc,с,1,в,Ак что эти в п = этто не так в лесу нету
28,лесу,лес,inan,masc,с,1,в,"Да , она тоже умерла - то в лесу"
29,дому,дом,inan,masc,м,1,в,а вот у = в крайнем дому в самом есть да
30,году,год,inan,masc,д,1,в,в пятьдесят шестом году
31,году,год,inan,masc,д,1,в,в каком уж году
32,году,год,inan,masc,д,1,в,ак вот и ровесник вот шес = в шестидесятом году мы этот дом ставили
33,лесу,лес,inan,masc,с,1,в,"Мох дерём - то в лесу - то , мох - то есть на земле - то"
34,году,год,inan,masc,д,1,на,"у нас Иван пришёл из армии , так два года не женился , ещё уж на третьем году тоже женился"
35,Вадюгу,вадюг,inan,masc,г,2,в,а вот в Вадюгу - ту она уже не
36,Вадюгу,вадюг,inan,masc,г,2,в,вот она в Вадюгу - ту уж не идёт сёмга -
37,Вадюгу,вадюг,inan,masc,г,2,в,в Вадюгу есть дак всё окушков да сорожек дак что них
