,lema,animacy,gender,finale,n_syll,accent,soft0
0,комбайн,1,1,н,2,0,1
1,октябрь,1,1,р',2,0,0
2,колхоз,1,1,з,2,0,1
3,сентябрь,1,1,р',2,0,0
4,совхоз,1,1,з,2,0,1
5,колхоз,1,1,з,2,0,1
6,колхоз,1,1,з,2,0,1
7,живот,1,1,т,2,0,1
8,койнас,0,1,с,2,0,1
9,город,1,1,д,2,0,1
10,город,1,1,д,2,0,1
11,трактор,1,1,р,2,0,1
12,колесо,1,0,с,2,0,1
13,мотор,1,1,р,2,0,1
14,озеро,1,0,р,2,0,1
15,пароход,1,1,д,3,0,1
16,самолёт,1,1,т,3,0,1
17,чердак,1,1,к,2,0,1
18,мотоцикл,1,1,л,3,0,1
19,этаж,1,1,ж,2,0,1
20,октябрь,1,1,р',2,0,0
21,дом,1,1,м,1,1,1
22,карман,1,1,н,2,0,1
23,белорус,1,1,с,3,0,1
24,корыто,1,0,т,2,0,1
25,магазин,1,1,н,3,0,1
26,магазин,1,1,н,3,0,1
27,туес,1,1,с,2,0,1
28,магазин,1,1,н,3,0,1
29,коромысло,1,0,л,3,0,1
30,коромысло,1,0,л,3,0,1
31,плечо,1,0,ч,1,0,1
32,плечо,1,0,ч,1,0,1
33,колхоз,1,1,з,2,0,1
34,ушат,1,1,т,2,0,1
35,позвоночник,1,1,к,4,0,1
36,двор,1,1,р,1,0,1
37,двор,1,1,р,1,0,1
38,прицеп,1,1,п,2,0,1
39,город,1,1,д,2,0,1
40,батог,1,1,г,2,0,1
41,ламлево,1,0,в,2,0,1
42,ламлево,1,0,в,2,0,1
43,колхоз,1,1,з,2,0,1
44,трактор,1,1,р,2,0,1
45,дом,1,1,м,1,1,1
46,трактор,1,1,р,2,0,1
47,двор,1,1,р,1,0,1
48,исход,1,1,д,2,0,1
49,магазин,1,1,н,3,0,1
50,магазин,1,1,н,3,0,1
51,подвал,1,1,л,2,0,1
52,мотор,1,1,р,2,0,1
53,поле,1,0,л',1,0,0
54,коридор,1,1,р,3,0,1
55,поле,1,0,л',1,0,0
56,место,1,0,т,1,0,1
57,июль,1,1,л',2,0,0
58,дровник,1,1,к,2,0,1
59,дровник,1,1,к,2,0,1
60,магазин,1,1,н,3,0,1
61,ведро,1,0,р,1,0,1
62,магазин,1,1,н,3,0,1
63,магазин,1,1,н,3,0,1
64,январь,1,1,р',2,0,0
65,обед,1,1,д,2,0,1
66,обед,1,1,д,2,0,1
67,мотор,1,1,р,2,0,1
68,весло,1,0,л,1,0,1
69,кустик,1,1,к,2,0,1
70,двор,1,1,р,1,0,1
71,двор,1,1,р,1,0,1
72,двор,1,1,р,1,0,1
73,двор,1,1,р,1,0,1
74,поле,1,0,л',1,0,0
75,государство,1,0,в,3,0,1
76,чердак,1,1,к,2,0,1
77,магазин,1,1,н,3,0,1
78,томат,1,1,т,2,0,1
79,государство,1,0,в,3,0,1
80,стол,1,1,л,1,0,1
81,июнь,1,1,н',2,0,0
82,союз,1,1,з,2,0,1
83,море,1,0,р',1,0,0
84,море,1,0,р',1,0,0
85,судно,1,0,н,1,0,1
86,буксир,1,1,р,2,0,1
87,наволок,1,1,к,3,0,1
88,место,1,0,т,1,0,1
89,участок,1,1,к,3,0,1
90,барабан,1,1,н,3,0,1
91,дёр,1,1,р,1,0,1
92,рот,1,1,т,1,0,1
93,сплав,1,1,в,1,0,1
94,август,1,1,т,2,0,1
95,буксир,1,1,р,2,0,1
96,автобус,1,1,с,3,0,1
97,коридор,1,1,р,3,0,1
98,исток,1,1,к,2,0,1
99,двор,1,1,р,1,0,1
100,двор,1,1,р,1,0,1
101,озеро,1,0,р,2,0,1
102,озеро,1,0,р,2,0,1
103,двор,1,1,р,1,0,1
104,двор,1,1,р,1,0,1
105,участок,1,1,к,3,0,1
106,июнь,1,1,н',2,0,0
107,июль,1,1,л',2,0,0
108,июль,1,1,л',2,0,0
109,поле,1,0,л',1,0,0
110,поле,1,0,л',1,0,0
111,поле,1,0,л',1,0,0
112,чердак,1,1,к,2,0,1
113,обед,1,1,д,2,0,1
114,шифоньер,1,1,р,3,0,1
115,магазин,1,1,н,3,0,1
116,двор,1,1,р,1,0,1
117,колхоз,1,1,з,2,0,1
118,участок,1,1,к,3,0,1
119,участок,1,1,к,3,0,1
120,самосвал,1,1,л,3,0,1
121,самосвал,1,1,л,3,0,1
122,самосвал,1,1,л,3,0,1
123,кузов,1,1,в,2,0,1
124,поле,1,0,л',1,0,0
125,волост,1,1,т,2,0,1
126,озеро,1,0,р,2,0,1
127,волост,1,1,т,2,0,1
128,волост,1,1,т,2,0,1
129,мотор,1,1,р,2,0,1
130,рейс,1,1,с,1,0,1
131,колхоз,1,1,з,2,0,1
132,озеро,1,0,р,2,0,1
133,совхоз,1,1,з,2,0,1
134,конь,0,1,н',1,0,0
135,горшок,1,1,к,2,0,1
136,сундук,1,1,к,2,0,1
137,магазин,1,1,н,3,0,1
138,город,1,1,д,2,0,1
139,матрас,1,1,с,2,0,1
140,колхоз,1,1,з,2,0,1
141,место,1,0,т,1,0,1
142,место,1,0,т,1,0,1
143,приход,1,1,д,2,0,1
144,июнь,1,1,н',2,0,0
145,июль,1,1,л',2,0,0
146,сон,1,1,н,1,0,1
147,конец,1,1,ц,2,0,1
148,брюхо,1,0,х,1,0,1
149,брюхо,1,0,х,1,0,1
150,брюхо,1,0,х,1,0,1
151,кладбище,1,0,щ',2,0,0
152,кладбище,1,0,щ',2,0,0
153,кладбище,1,0,щ',2,0,0
154,дно,1,0,н',1,0,0
155,поле,1,0,л',1,0,0
156,болото,1,0,т,2,0,1
157,велосипед,1,1,д,4,0,1
158,город,1,1,д,2,0,1
159,дом,1,1,м,1,1,1
160,колхоз,1,1,з,2,0,1
161,город,1,1,д,2,0,1
162,поле,1,0,л',1,0,0
163,декрет,1,1,т,2,0,1
164,поле,1,0,л',1,0,0
165,магазин,1,1,н,3,0,1
166,город,1,1,д,2,0,1
167,живот,1,1,т,2,0,1
168,место,1,0,т,1,0,1
169,поле,1,0,л',1,0,0
170,поле,1,0,л',1,0,0
171,огородец,1,1,ц,4,0,1
172,огород,1,1,д,3,0,1
