,lema,animacy,gender,finale,n_syll,accent,soft0
0,лес,1,1,с,1,1,1
1,лес,1,1,с,1,1,1
2,аэропорт,1,1,т,4,0,1
3,низ,1,1,з,1,1,1
4,дом,1,1,м,1,1,1
5,мост,1,1,т,1,1,1
6,год,1,1,д,1,1,1
7,лес,1,1,с,1,1,1
8,год,1,1,д,1,1,1
9,отпуск,1,1,к,2,0,1
10,верх,1,1,х,1,1,1
11,лес,1,1,с,1,1,1
12,лес,1,1,с,1,1,1
13,дом,1,1,м,1,1,1
14,месяц,1,1,ц,2,0,1
15,угол,1,1,л,2,0,1
16,угол,1,1,л,2,0,1
17,год,1,1,д,1,1,1
18,год,1,1,д,1,1,1
19,бок,1,1,к,1,1,1
20,отпуск,1,1,к,2,0,1
21,лес,1,1,с,1,1,1
22,лес,1,1,с,1,1,1
23,бок,1,1,к,1,1,1
24,лес,1,1,с,1,1,1
25,лес,1,1,с,1,1,1
26,лес,1,1,с,1,1,1
27,лес,1,1,с,1,1,1
28,дом,1,1,м,1,1,1
29,год,1,1,д,1,1,1
30,год,1,1,д,1,1,1
31,год,1,1,д,1,1,1
32,лес,1,1,с,1,1,1
33,год,1,1,д,1,1,1
34,сад,1,1,д,1,1,1
35,лес,1,1,с,1,1,1
36,год,1,1,д,1,1,1
37,отпуск,1,1,к,2,0,1
38,год,1,1,д,1,1,1
39,год,1,1,д,1,1,1
40,берег,1,1,г,2,0,1
41,лес,1,1,с,1,1,1
42,пол,1,1,л,1,1,1
43,пол,1,1,л,1,1,1
44,лес,1,1,с,1,1,1
45,угол,1,1,л,2,0,1
46,год,1,1,д,1,1,1
47,лес,1,1,с,1,1,1
48,мост,1,1,т,1,1,1
49,год,1,1,д,1,1,1
50,отпуск,1,1,к,2,0,1
51,лес,1,1,с,1,1,1
52,год,1,1,д,1,1,1
