,lema,0e_num,0y_num,perc,animacy,gender,finale,n_syll,soft0
0,магазин,12.0,0.0,0.0,1,1,н,3,1
1,двор,12.0,0.0,0.0,1,1,р,1,1
2,поле,12.0,0.0,0.0,1,0,л',1,0
3,колхоз,9.0,0.0,0.0,1,1,з,2,1
4,город,7.0,0.0,0.0,1,1,д,2,1
5,место,5.0,0.0,0.0,1,0,т,1,1
6,озеро,5.0,0.0,0.0,1,0,р,2,1
7,мотор,4.0,0.0,0.0,1,1,р,2,1
8,участок,4.0,0.0,0.0,1,1,к,3,1
9,июль,4.0,0.0,0.0,1,1,л',2,0
10,обед,3.0,0.0,0.0,1,1,д,2,1
11,самосвал,3.0,0.0,0.0,1,1,л,3,1
12,кладбище,3.0,0.0,0.0,1,0,щ',2,0
13,дом,3.0,3.0,0.5,1,1,м,1,1
15,июнь,3.0,0.0,0.0,1,1,н',2,0
16,чердак,3.0,0.0,0.0,1,1,к,2,1
17,брюхо,3.0,0.0,0.0,1,0,х,1,1
18,волост,3.0,0.0,0.0,1,1,т,2,1
19,трактор,3.0,0.0,0.0,1,1,р,2,1
20,государство,2.0,0.0,0.0,1,0,в,3,1
21,совхоз,2.0,0.0,0.0,1,1,з,2,1
22,плечо,2.0,0.0,0.0,1,0,ч,1,1
23,море,2.0,0.0,0.0,1,0,р',1,0
24,ламлево,2.0,0.0,0.0,1,0,в,2,1
25,коромысло,2.0,0.0,0.0,1,0,л,3,1
26,коридор,2.0,0.0,0.0,1,1,р,3,1
27,буксир,2.0,0.0,0.0,1,1,р,2,1
28,октябрь,2.0,0.0,0.0,1,1,р',2,0
29,живот,2.0,0.0,0.0,1,1,т,2,1
30,дровник,2.0,0.0,0.0,1,1,к,2,1
31,туес,1.0,0.0,0.0,1,1,с,2,1
32,ушат,1.0,0.0,0.0,1,1,т,2,1
33,пароход,1.0,0.0,0.0,1,1,д,3,1
34,этаж,1.0,0.0,0.0,1,1,ж,2,1
35,судно,1.0,0.0,0.0,1,0,н,1,1
36,подвал,1.0,0.0,0.0,1,1,л,2,1
37,шифоньер,1.0,0.0,0.0,1,1,р,3,1
38,томат,1.0,0.0,0.0,1,1,т,2,1
39,позвоночник,1.0,0.0,0.0,1,1,к,4,1
40,стол,1.0,0.0,0.0,1,1,л,1,1
41,сентябрь,1.0,0.0,0.0,1,1,р',2,0
42,приход,1.0,0.0,0.0,1,1,д,2,1
43,прицеп,1.0,0.0,0.0,1,1,п,2,1
44,рейс,1.0,0.0,0.0,1,1,с,1,1
45,сплав,1.0,0.0,0.0,1,1,в,1,1
46,рот,1.0,0.0,0.0,1,1,т,1,1
47,сундук,1.0,0.0,0.0,1,1,к,2,1
48,союз,1.0,0.0,0.0,1,1,з,2,1
49,сон,1.0,0.0,0.0,1,1,н,1,1
50,самолёт,1.0,0.0,0.0,1,1,т,3,1
51,август,1.0,0.0,0.0,1,1,т,2,1
52,огородец,1.0,0.0,0.0,1,1,ц,4,1
53,исход,1.0,0.0,0.0,1,1,д,2,1
54,барабан,1.0,0.0,0.0,1,1,н,3,1
55,батог,1.0,0.0,0.0,1,1,г,2,1
56,белорус,1.0,0.0,0.0,1,1,с,3,1
57,болото,1.0,0.0,0.0,1,0,т,2,1
58,ведро,1.0,0.0,0.0,1,0,р,1,1
59,велосипед,1.0,0.0,0.0,1,1,д,4,1
60,весло,1.0,0.0,0.0,1,0,л,1,1
61,горшок,1.0,0.0,0.0,1,1,к,2,1
62,декрет,1.0,0.0,0.0,1,1,т,2,1
63,дно,1.0,0.0,0.0,1,0,н',1,0
64,дёр,1.0,0.0,0.0,1,1,р,1,1
65,исток,1.0,0.0,0.0,1,1,к,2,1
66,карман,1.0,0.0,0.0,1,1,н,2,1
67,огород,1.0,0.0,0.0,1,1,д,3,1
68,койнас,1.0,0.0,0.0,0,1,с,2,1
69,колесо,1.0,0.0,0.0,1,0,с,2,1
70,комбайн,1.0,0.0,0.0,1,1,н,2,1
71,конец,1.0,0.0,0.0,1,1,ц,2,1
72,конь,1.0,0.0,0.0,0,1,н',1,0
73,корыто,1.0,0.0,0.0,1,0,т,2,1
74,кузов,1.0,0.0,0.0,1,1,в,2,1
75,кустик,1.0,0.0,0.0,1,1,к,2,1
76,автобус,1.0,0.0,0.0,1,1,с,3,1
77,матрас,1.0,0.0,0.0,1,1,с,2,1
78,мотоцикл,1.0,0.0,0.0,1,1,л,3,1
79,наволок,1.0,0.0,0.0,1,1,к,3,1
80,январь,1.0,0.0,0.0,1,1,р',2,0
81,лес,0.0,17.0,1.0,1,1,с,1,1
82,год,0.0,14.0,1.0,1,1,д,1,1
83,отпуск,0.0,4.0,1.0,1,1,к,2,1
84,угол,0.0,3.0,1.0,1,1,л,2,1
85,бок,0.0,2.0,1.0,1,1,к,1,1
86,мост,0.0,2.0,1.0,1,1,т,1,1
87,пол,0.0,2.0,1.0,1,1,л,1,1
88,аэропорт,0.0,1.0,1.0,1,1,т,4,1
89,берег,0.0,1.0,1.0,1,1,г,2,1
90,верх,0.0,1.0,1.0,1,1,х,1,1
91,месяц,0.0,1.0,1.0,1,1,ц,2,1
92,низ,0.0,1.0,1.0,1,1,з,1,1
93,сад,0.0,1.0,1.0,1,1,д,1,1
